,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,551750,Breakout,/trends/explore?q=/m/014jg3&date=today+5-y,/m/014jg3,Training,Topic,rising,
1,540900,Breakout,/trends/explore?q=/m/0m4jc&date=today+5-y,/m/0m4jc,U.S. County,United States,rising,
2,540500,Breakout,/trends/explore?q=/m/0chghy&date=today+5-y,/m/0chghy,Australia,Country in Oceania,rising,
3,509800,Breakout,/trends/explore?q=/m/01bgsw&date=today+5-y,/m/01bgsw,Toddler,Topic,rising,
4,482550,Breakout,/trends/explore?q=/m/01rhgl&date=today+5-y,/m/01rhgl,Experience,Topic,rising,
5,460800,Breakout,/trends/explore?q=/m/03s26&date=today+5-y,/m/03s26,Individual,Topic,rising,
6,439950,Breakout,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,rising,
7,402550,Breakout,/trends/explore?q=/m/019_nn&date=today+5-y,/m/019_nn,Friendship,Topic,rising,
8,325700,Breakout,/trends/explore?q=/m/015c4z&date=today+5-y,/m/015c4z,Sitting,Topic,rising,
9,233900,Breakout,/trends/explore?q=/m/035zrc&date=today+5-y,/m/035zrc,Household,Topic,rising,
10,203450,Breakout,/trends/explore?q=/m/01g317&date=today+5-y,/m/01g317,Person,Topic,rising,
11,201300,Breakout,/trends/explore?q=/m/05j7x6&date=today+5-y,/m/05j7x6,Employee benefits,Topic,rising,
12,173800,Breakout,/trends/explore?q=/m/02h_12&date=today+5-y,/m/02h_12,Question,Topic,rising,
13,161200,Breakout,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,rising,
14,131000,Breakout,/trends/explore?q=/m/03fk6m&date=today+5-y,/m/03fk6m,Fee,Topic,rising,
15,200,+200%,/trends/explore?q=/m/01d30f&date=today+5-y,/m/01d30f,Teacher,Profession,rising,
16,190,+190%,/trends/explore?q=/m/01_942&date=today+5-y,/m/01_942,Wage,Topic,rising,
17,140,+140%,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,rising,
18,120,+120%,/trends/explore?q=/m/046zzg&date=today+5-y,/m/046zzg,Form,Document,rising,
19,120,+120%,/trends/explore?q=/m/011b7yqg&date=today+5-y,/m/011b7yqg,Certification,Topic,rising,
20,90,+90%,/trends/explore?q=/m/0lbz9&date=today+5-y,/m/0lbz9,Parent,Topic,rising,
21,70,+70%,/trends/explore?q=/m/07g82&date=today+5-y,/m/07g82,Tax,Topic,rising,
22,50,+50%,/trends/explore?q=/m/0lbxz&date=today+5-y,/m/0lbxz,Mother,Topic,rising,
23,50,+50%,/trends/explore?q=/m/01lh7h&date=today+5-y,/m/01lh7h,Safety,Topic,rising,
24,100,100,/trends/explore?q=/m/0ytgt&date=today+5-y,/m/0ytgt,Child,Topic,top,True
25,98,98,/trends/explore?q=/m/04fb_1&date=today+5-y,/m/04fb_1,Babysitting,Topic,top,True
26,87,87,/trends/explore?q=/m/022hpx&date=today+5-y,/m/022hpx,Child care,Topic,top,True
27,15,15,/trends/explore?q=/m/0jnvp&date=today+5-y,/m/0jnvp,Infant,Topic,top,True
28,13,13,/trends/explore?q=/m/07g82&date=today+5-y,/m/07g82,Tax,Topic,top,True
29,12,12,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
30,9,9,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
31,8,8,/trends/explore?q=/m/03wj0&date=today+5-y,/m/03wj0,Income,Topic,top,True
32,7,7,/trends/explore?q=/m/09dhj&date=today+5-y,/m/09dhj,Family,Topic,top,True
33,7,7,/trends/explore?q=/m/0lbz9&date=today+5-y,/m/0lbz9,Parent,Topic,top,True
34,7,7,/trends/explore?q=/m/0b25v&date=today+5-y,/m/0b25v,License,Topic,top,True
35,6,6,/trends/explore?q=/m/0lbxz&date=today+5-y,/m/0lbxz,Mother,Topic,top,True
36,6,6,/trends/explore?q=/m/014jg3&date=today+5-y,/m/014jg3,Training,Topic,top,True
37,6,6,/trends/explore?q=/m/01d30f&date=today+5-y,/m/01d30f,Teacher,Profession,top,True
38,6,6,/trends/explore?q=/m/0m4jc&date=today+5-y,/m/0m4jc,U.S. County,United States,top,True
39,6,6,/trends/explore?q=/m/0chghy&date=today+5-y,/m/0chghy,Australia,Country in Oceania,top,True
40,6,6,/trends/explore?q=/m/01s3jq&date=today+5-y,/m/01s3jq,Nanny,Topic,top,True
41,5,5,/trends/explore?q=/m/01bgsw&date=today+5-y,/m/01bgsw,Toddler,Topic,top,True
42,5,5,/trends/explore?q=/m/03c866&date=today+5-y,/m/03c866,Grandparent,Topic,top,True
43,5,5,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,top,True
44,5,5,/trends/explore?q=/m/01rhgl&date=today+5-y,/m/01rhgl,Experience,Topic,top,True
45,5,5,/trends/explore?q=/m/03s26&date=today+5-y,/m/03s26,Individual,Topic,top,True
46,5,5,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,top,True
47,5,5,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
48,4,4,/trends/explore?q=/m/019_nn&date=today+5-y,/m/019_nn,Friendship,Topic,top,True
