geoName,Blogging
Argentina,2
Australia,12
Bangladesh,42
Belgium,2
Brazil,1
Canada,21
Colombia,4
Egypt,8
France,2
Germany,2
Ghana,70
Greece,5
Hong Kong,9
India,53
Indonesia,9
Iran,1
Iraq,9
Ireland,14
Israel,5
Italy,7
Japan,1
Kenya,81
Malaysia,14
Mexico,4
Morocco,12
Nepal,54
Netherlands,4
New Zealand,16
Nigeria,91
Norway,7
Pakistan,100
Peru,2
Philippines,67
Poland,1
Portugal,4
Romania,5
Russia,4
Saudi Arabia,5
Singapore,19
South Africa,25
South Korea,8
Spain,4
Sri Lanka,25
St. Helena,70
Sweden,4
Switzerland,4
Taiwan,4
Thailand,9
Türkiye,1
Uganda,38
Ukraine,4
United Arab Emirates,26
United Kingdom,19
United States,26
Vietnam,15
