,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,153100,Breakout,/trends/explore?q=/g/11pq7mvxcy&date=today+5-y,/g/11pq7mvxcy,Ira blogging,Software,rising,
1,30150,Breakout,/trends/explore?q=/g/122j87_s&date=today+5-y,/g/122j87_s,Registered dietitian,Profession,rising,
2,3900,"+3,900%",/trends/explore?q=/g/11c1qlyx5j&date=today+5-y,/g/11c1qlyx5j,Grande Fratello VIP,Television program,rising,
3,1800,"+1,800%",/trends/explore?q=/m/028r4l&date=today+5-y,/m/028r4l,Dietitian,Topic,rising,
4,1500,"+1,500%",/trends/explore?q=/m/0f986d&date=today+5-y,/m/0f986d,Grande Fratello,Italian television movie,rising,
5,1450,"+1,450%",/trends/explore?q=/m/02wths&date=today+5-y,/m/02wths,Paisa,Money,rising,
6,550,+550%,/trends/explore?q=/m/02mf1n&date=today+5-y,/m/02mf1n,Gadget,Topic,rising,
7,400,+400%,/trends/explore?q=/m/052kc3&date=today+5-y,/m/052kc3,Niche market,Topic,rising,
8,250,+250%,/trends/explore?q=/m/0h3kxn&date=today+5-y,/m/0h3kxn,Website content writer,Career,rising,
9,250,+250%,/trends/explore?q=/g/11b7cgk0km&date=today+5-y,/g/11b7cgk0km,Dallas Cowboys Pro Shop,Topic,rising,
10,200,+200%,/trends/explore?q=/m/02896&date=today+5-y,/m/02896,Dallas Cowboys,Football team,rising,
11,200,+200%,/trends/explore?q=/m/03c025m&date=today+5-y,/m/03c025m,Niche blogging,Topic,rising,
12,150,+150%,/trends/explore?q=/m/027x7n&date=today+5-y,/m/027x7n,Physical fitness,Topic,rising,
13,120,+120%,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,rising,
14,90,+90%,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,rising,
15,90,+90%,/trends/explore?q=/m/02rf5_g&date=today+5-y,/m/02rf5_g,Microblogging,Topic,rising,
16,80,+80%,/trends/explore?q=/m/04rh6b&date=today+5-y,/m/04rh6b,Vlog,Topic,rising,
17,80,+80%,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,rising,
18,70,+70%,/trends/explore?q=/m/015hcf&date=today+5-y,/m/015hcf,Idea,Topic,rising,
19,60,+60%,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,rising,
20,50,+50%,/trends/explore?q=/m/019qb_&date=today+5-y,/m/019qb_,Search Engine Optimization,Topic,rising,
21,100,100,/trends/explore?q=/m/084dw&date=today+5-y,/m/084dw,Blog,Topic,top,True
22,14,14,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
23,11,11,/trends/explore?q=/g/11my1t41tp&date=today+5-y,/g/11my1t41tp,good,Topic,top,True
24,10,10,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,top,True
25,10,10,/trends/explore?q=/g/11dzf2cr_k&date=today+5-y,/g/11dzf2cr_k,Blogging The Boys,Topic,top,True
26,5,5,/trends/explore?q=/m/01scs3&date=today+5-y,/m/01scs3,Blogger,Website,top,True
27,5,5,/trends/explore?q=/m/02vtpl&date=today+5-y,/m/02vtpl,WordPress,System software,top,True
28,4,4,/trends/explore?q=/g/11b7cgk0km&date=today+5-y,/g/11b7cgk0km,Dallas Cowboys Pro Shop,Topic,top,True
29,4,4,/trends/explore?q=/m/02896&date=today+5-y,/m/02896,Dallas Cowboys,Football team,top,True
30,4,4,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
31,3,3,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,top,True
32,3,3,/trends/explore?q=/m/04rh6b&date=today+5-y,/m/04rh6b,Vlog,Topic,top,True
33,3,3,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
34,2,2,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,top,True
35,2,2,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,top,True
36,2,2,/trends/explore?q=/m/015hcf&date=today+5-y,/m/015hcf,Idea,Topic,top,True
37,2,2,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,top,True
38,2,2,/trends/explore?q=/m/019qb_&date=today+5-y,/m/019qb_,Search Engine Optimization,Topic,top,True
39,2,2,/trends/explore?q=/g/11pq7mvxcy&date=today+5-y,/g/11pq7mvxcy,Ira blogging,Software,top,True
40,2,2,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,top,True
41,1,1,/trends/explore?q=/m/02rf5_g&date=today+5-y,/m/02rf5_g,Microblogging,Topic,top,True
42,1,1,/trends/explore?q=/m/03c025m&date=today+5-y,/m/03c025m,Niche blogging,Topic,top,True
43,1,1,/trends/explore?q=/m/052kc3&date=today+5-y,/m/052kc3,Niche market,Topic,top,True
44,1,1,/trends/explore?q=/m/027x7n&date=today+5-y,/m/027x7n,Physical fitness,Topic,top,True
45,1,1,/trends/explore?q=/g/11c1qlyx5j&date=today+5-y,/g/11c1qlyx5j,Grande Fratello VIP,Television program,top,True
