,query,value,mode
0,car cleaning services at home,225550,rising
1,car cleaning services near me,400,rising
2,car washing near me,130,rising
3,pressure washer,90,rising
4,car cleaning services,80,rising
5,car wash,100,top
6,car wash services,97,top
7,car washing near me,82,top
8,car cleaning,80,top
9,car cleaning services,77,top
10,pressure washing services,42,top
11,car wash near me,35,top
12,car detailing services,31,top
13,car cleaning services near me,25,top
14,power washing services,18,top
15,car cleaning services at home,9,top
16,pressure washer,6,top
17,jet washing services,6,top
