,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,286200,Breakout,/trends/explore?q=/m/07yv9&date=today+5-y,/m/07yv9,Vehicle,Topic,rising,
1,250650,Breakout,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,rising,
2,169850,Breakout,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,rising,
3,163500,Breakout,/trends/explore?q=/m/0d31p&date=today+5-y,/m/0d31p,Vacuum cleaner,Topic,rising,
4,160150,Breakout,/trends/explore?q=/m/09t4t&date=today+5-y,/m/09t4t,Manufacturing,Topic,rising,
5,158550,Breakout,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,rising,
6,152150,Breakout,/trends/explore?q=/m/0cgh4&date=today+5-y,/m/0cgh4,Building,Site listing category,rising,
7,135950,Breakout,/trends/explore?q=/m/081pl8&date=today+5-y,/m/081pl8,Auto mechanic,Topic,rising,
8,127000,Breakout,/trends/explore?q=/m/0gfps3&date=today+5-y,/m/0gfps3,Economy,Topic,rising,
9,123500,Breakout,/trends/explore?q=/m/02pnv61&date=today+5-y,/m/02pnv61,cleaner,Topic,rising,
10,119550,Breakout,/trends/explore?q=/m/02j62&date=today+5-y,/m/02j62,Economics,Field of study,rising,
11,119100,Breakout,/trends/explore?q=/m/05315n&date=today+5-y,/m/05315n,Goods and services,Topic,rising,
12,118400,Breakout,/trends/explore?q=/m/02r60&date=today+5-y,/m/02r60,Elevator,Topic,rising,
13,118200,Breakout,/trends/explore?q=/g/11c1wk8xr4&date=today+5-y,/g/11c1wk8xr4,UrbanClap Packers And Movers Pune,Topic,rising,
14,114250,Breakout,/trends/explore?q=/m/02q9lq2&date=today+5-y,/m/02q9lq2,Resource,Topic,rising,
15,109500,Breakout,/trends/explore?q=/m/01nnqh&date=today+5-y,/m/01nnqh,Foam,Topic,rising,
16,107100,Breakout,/trends/explore?q=/m/0h5wp8d&date=today+5-y,/m/0h5wp8d,Hyundai,Car make,rising,
17,103000,Breakout,/trends/explore?q=/m/05p1yx7&date=today+5-y,/m/05p1yx7,Carpet cleaning,Topic,rising,
18,250,+250%,/trends/explore?q=/m/01f08r&date=today+5-y,/m/01f08r,Dubai,City in the United Arab Emirates,rising,
19,80,+80%,/trends/explore?q=/m/07r04&date=today+5-y,/m/07r04,Truck,Body style,rising,
20,50,+50%,/trends/explore?q=/g/122m3_0c&date=today+5-y,/g/122m3_0c,Pressure washing,Topic,rising,
21,100,100,/trends/explore?q=/m/0k4j&date=today+5-y,/m/0k4j,Car,Mode of transport,top,True
22,98,98,/trends/explore?q=/m/01ln6f&date=today+5-y,/m/01ln6f,Washing,Topic,top,True
23,72,72,/trends/explore?q=/m/05hp41&date=today+5-y,/m/05hp41,Car Wash,Topic,top,True
24,65,65,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
25,21,21,/trends/explore?q=/g/11c5rmbjqg&date=today+5-y,/g/11c5rmbjqg,Cleaning,Topic,top,True
26,10,10,/trends/explore?q=/m/0dkw5&date=today+5-y,/m/0dkw5,Machine,Topic,top,True
27,10,10,/trends/explore?q=/m/0174k2&date=today+5-y,/m/0174k2,Washing machine,Topic,top,True
28,10,10,/trends/explore?q=/g/11b63943yg&date=today+5-y,/g/11b63943yg,Pressure Washer,Topic,top,True
29,9,9,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
30,8,8,/trends/explore?q=/m/05wnx&date=today+5-y,/m/05wnx,Pressure,Topic,top,True
31,8,8,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
32,8,8,/trends/explore?q=/m/03zj0g&date=today+5-y,/m/03zj0g,Auto detailing,Topic,top,True
33,4,4,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
34,4,4,/trends/explore?q=/g/122m3_0c&date=today+5-y,/g/122m3_0c,Pressure washing,Topic,top,True
35,4,4,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
36,3,3,/trends/explore?q=/m/07yv9&date=today+5-y,/m/07yv9,Vehicle,Topic,top,True
37,3,3,/trends/explore?q=/m/0d4v4&date=today+5-y,/m/0d4v4,Window,Topic,top,True
38,3,3,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
39,3,3,/trends/explore?q=/m/02xry&date=today+5-y,/m/02xry,Florida,US state,top,True
40,3,3,/trends/explore?q=/m/03cjh6f&date=today+5-y,/m/03cjh6f,Motor Vehicle Service,Motor vehicle,top,True
41,2,2,/trends/explore?q=/m/07r04&date=today+5-y,/m/07r04,Truck,Body style,top,True
42,2,2,/trends/explore?q=/g/11mmkf5t99&date=today+5-y,/g/11mmkf5t99,cheap,Topic,top,True
43,2,2,/trends/explore?q=/m/015y2q&date=today+5-y,/m/015y2q,Pune,City in India,top,True
44,2,2,/trends/explore?q=/m/01f08r&date=today+5-y,/m/01f08r,Dubai,City in the United Arab Emirates,top,True
45,2,2,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,top,True
