,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,9131750,Breakout,/trends/explore?q=/m/04058p&date=today+5-y,/m/04058p,Podcast,Topic,rising,
1,69600,Breakout,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,rising,
2,58550,Breakout,/trends/explore?q=/m/012hn2w6&date=today+5-y,/m/012hn2w6,Canva,Graphic design company,rising,
3,55300,Breakout,/trends/explore?q=/m/0ryzfx8&date=today+5-y,/m/0ryzfx8,Spotify,Company,rising,
4,48100,Breakout,/trends/explore?q=/m/02p9w51&date=today+5-y,/m/02p9w51,Google Account,Topic,rising,
5,47700,Breakout,/trends/explore?q=/m/06c2v&date=today+5-y,/m/06c2v,Rhetoric,Field of study,rising,
6,45650,Breakout,/trends/explore?q=/m/0mkz&date=today+5-y,/m/0mkz,Artificial intelligence,Topic,rising,
7,45150,Breakout,/trends/explore?q=/m/01qls&date=today+5-y,/m/01qls,Community,Organization type,rising,
8,41450,Breakout,/trends/explore?q=/m/0p3x&date=today+5-y,/m/0p3x,Anchor,Topic,rising,
9,38550,Breakout,/trends/explore?q=/m/048krps&date=today+5-y,/m/048krps,Choice,Topic,rising,
10,35100,Breakout,/trends/explore?q=/m/0cbd2&date=today+5-y,/m/0cbd2,Writer,Topic,rising,
11,34850,Breakout,/trends/explore?q=/m/06h12k&date=today+5-y,/m/06h12k,Sharing,Topic,rising,
12,34550,Breakout,/trends/explore?q=/m/02p14rx&date=today+5-y,/m/02p14rx,Video editing,Topic,rising,
13,1500,"+1,500%",/trends/explore?q=/m/04yhd6c&date=today+5-y,/m/04yhd6c,Spotify,Website,rising,
14,550,+550%,/trends/explore?q=/g/11h3mx3c5h&date=today+5-y,/g/11h3mx3c5h,Google Podcasts,Topic,rising,
15,400,+400%,/trends/explore?q=/g/11fp8jfnz8&date=today+5-y,/g/11fp8jfnz8,Apple Podcasts,Topic,rising,
16,200,+200%,/trends/explore?q=/m/04st9hr&date=today+5-y,/m/04st9hr,Apple,Topic,rising,
17,160,+160%,/trends/explore?q=/m/0k8z&date=today+5-y,/m/0k8z,Apple,Technology company,rising,
18,100,+100%,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,rising,
19,80,+80%,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,rising,
20,60,+60%,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,rising,
21,100,100,/trends/explore?q=/m/04058p&date=today+5-y,/m/04058p,Podcast,Topic,top,True
22,12,12,/trends/explore?q=/m/04yhd6c&date=today+5-y,/m/04yhd6c,Spotify,Website,top,True
23,6,6,/trends/explore?q=/m/0h94y36&date=today+5-y,/m/0h94y36,Mobile app,Mobile game device,top,True
24,5,5,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
25,5,5,/trends/explore?q=/m/0k8z&date=today+5-y,/m/0k8z,Apple,Technology company,top,True
26,5,5,/trends/explore?q=/m/0n5tx&date=today+5-y,/m/0n5tx,RSS,Format,top,True
27,4,4,/trends/explore?q=/g/11fp8jfnz8&date=today+5-y,/g/11fp8jfnz8,Apple Podcasts,Topic,top,True
28,4,4,/trends/explore?q=/m/035c93&date=today+5-y,/m/035c93,Web feed,Topic,top,True
29,4,4,/trends/explore?q=/m/019g58&date=today+5-y,/m/019g58,iTunes,Software program,top,True
30,3,3,/trends/explore?q=/m/04st9hr&date=today+5-y,/m/04st9hr,Apple,Topic,top,True
31,3,3,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
32,3,3,/trends/explore?q=/m/084dw&date=today+5-y,/m/084dw,Blog,Topic,top,True
33,2,2,/trends/explore?q=/m/01mf0&date=today+5-y,/m/01mf0,Software,Software grouping,top,True
34,2,2,/trends/explore?q=/g/11h3mx3c5h&date=today+5-y,/g/11h3mx3c5h,Google Podcasts,Topic,top,True
35,2,2,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,top,True
36,2,2,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,top,True
37,2,2,/trends/explore?q=/m/0dwx7&date=today+5-y,/m/0dwx7,Logo,Topic,top,True
38,1,1,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,top,True
39,1,1,/trends/explore?q=/m/012hn2w6&date=today+5-y,/m/012hn2w6,Canva,Graphic design company,top,True
40,1,1,/trends/explore?q=/m/0ryzfx8&date=today+5-y,/m/0ryzfx8,Spotify,Company,top,True
41,1,1,/trends/explore?q=/m/02p9w51&date=today+5-y,/m/02p9w51,Google Account,Topic,top,True
42,1,1,/trends/explore?q=/m/06c2v&date=today+5-y,/m/06c2v,Rhetoric,Field of study,top,True
43,1,1,/trends/explore?q=/m/0mkz&date=today+5-y,/m/0mkz,Artificial intelligence,Topic,top,True
44,0,<1,/trends/explore?q=/m/01qls&date=today+5-y,/m/01qls,Community,Organization type,top,True
45,0,<1,/trends/explore?q=/m/0p3x&date=today+5-y,/m/0p3x,Anchor,Topic,top,True
