,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,362100,Breakout,/trends/explore?q=/g/122152pm&date=today+5-y,/g/122152pm,Technique,Topic,rising,
1,299150,Breakout,/trends/explore?q=/m/018tl7&date=today+5-y,/m/018tl7,Competition,Topic,rising,
2,256850,Breakout,/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
3,251100,Breakout,/trends/explore?q=/m/0hhdb&date=today+5-y,/m/0hhdb,Shopping,Topic,rising,
4,233900,Breakout,/trends/explore?q=/m/0bhrmc&date=today+5-y,/m/0bhrmc,Value,Ethics and social sciences,rising,
5,215800,Breakout,/trends/explore?q=/g/1215vxrr&date=today+5-y,/g/1215vxrr,Profit,Economics,rising,
6,208450,Breakout,/trends/explore?q=/g/121dcy_c&date=today+5-y,/g/121dcy_c,Need,Topic,rising,
7,192700,Breakout,/trends/explore?q=/m/0_jm&date=today+5-y,/m/0_jm,Accounting,Professional field,rising,
8,191050,Breakout,/trends/explore?q=/m/08wsbq&date=today+5-y,/m/08wsbq,Promotional mix,Topic,rising,
9,182100,Breakout,/trends/explore?q=/m/0bhr4z&date=today+5-y,/m/0bhr4z,Value,Economics,rising,
10,179900,Breakout,/trends/explore?q=/m/027rw3&date=today+5-y,/m/027rw3,Funnel,Laboratory glassware,rising,
11,179400,Breakout,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,rising,
12,169300,Breakout,/trends/explore?q=/m/03wj0&date=today+5-y,/m/03wj0,Income,Topic,rising,
13,168300,Breakout,/trends/explore?q=/m/084dw&date=today+5-y,/m/084dw,Blog,Topic,rising,
14,155000,Breakout,/trends/explore?q=/m/02x395&date=today+5-y,/m/02x395,Multiple choice,Topic,rising,
15,153900,Breakout,/trends/explore?q=/g/120vhg3f&date=today+5-y,/g/120vhg3f,Learning,Topic,rising,
16,151650,Breakout,/trends/explore?q=/m/01x1q9&date=today+5-y,/m/01x1q9,Rate,Mathematics,rising,
17,149600,Breakout,/trends/explore?q=/m/015bv3&date=today+5-y,/m/015bv3,Document,Topic,rising,
18,146750,Breakout,/trends/explore?q=/m/01q4y&date=today+5-y,/m/01q4y,Chemical element,Topic,rising,
19,146100,Breakout,/trends/explore?q=/m/02wvbrv&date=today+5-y,/m/02wvbrv,Search engine,Software type,rising,
20,145500,Breakout,/trends/explore?q=/g/11nm_6xjnf&date=today+5-y,/g/11nm_6xjnf,recent,Topic,rising,
21,144150,Breakout,/trends/explore?q=/m/01593g&date=today+5-y,/m/01593g,Quality,Business,rising,
22,140950,Breakout,/trends/explore?q=/m/03ml62y&date=today+5-y,/m/03ml62y,Career,Topic,rising,
23,140850,Breakout,/trends/explore?q=/m/06ck9d&date=today+5-y,/m/06ck9d,Operations management,Topic,rising,
24,138400,Breakout,/trends/explore?q=/m/01ghqd&date=today+5-y,/m/01ghqd,Partnership,Organization legal structure,rising,
25,100,100,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
26,93,93,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
27,67,67,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
28,44,44,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
29,41,41,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
30,35,35,/trends/explore?q=/m/029kh&date=today+5-y,/m/029kh,Digital,Topic,top,True
31,34,34,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,top,True
32,33,33,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
33,29,29,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
34,24,24,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
35,23,23,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,top,True
36,22,22,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
37,22,22,/trends/explore?q=/g/122mkxsz&date=today+5-y,/g/122mkxsz,Promotion,Marketing,top,True
38,21,21,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,top,True
39,20,20,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,top,True
40,20,20,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
41,18,18,/trends/explore?q=/g/11fll4frcz&date=today+5-y,/g/11fll4frcz,Digital product,Topic,top,True
42,18,18,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
43,18,18,/trends/explore?q=/m/01cd9&date=today+5-y,/m/01cd9,Brand,Topic,top,True
44,17,17,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
45,15,15,/trends/explore?q=/m/0f255&date=today+5-y,/m/0f255,Digital media,Media format,top,True
46,15,15,/trends/explore?q=/m/026sq&date=today+5-y,/m/026sq,Data,Topic,top,True
47,14,14,/trends/explore?q=/m/03y39&date=today+5-y,/m/03y39,Information,Topic,top,True
48,14,14,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,top,True
49,13,13,/trends/explore?q=/m/01lhf&date=today+5-y,/m/01lhf,Communication,Field of study,top,True
