,query,value,mode
0,how should you place a prong collar on a dog,7100,rising
1,where should you attach a leash to a choke chain style collar,6800,rising
2,ias couple dog walking,5200,rising
3,woman killed by alligator while walking dog,5150,rising
4,how should you place a prong collar on a dog?,4200,rising
5,how is an easy walk harness correctly attached?,4000,rising
6,moulton dog walking field,3750,rising
7,what is the least effective method to retrieve a dog that has got off leash?,3050,rising
8,ettington dog walking meadow,2450,rising
9,ant walking alligators,2050,rising
10,purton dog walking field,1700,rising
11,enclosed dog walking fields near me,1500,rising
12,woman eaten by alligator while walking dog,1400,rising
13,dog walking field near me,1300,rising
14,where should you attach a leash to a choke chain style collar?,1150,rising
15,woman missing walking dog,800,rising
16,video of dog walking with hip dysplasia,750,rising
17,dog walking fields near me,750,rising
18,chaos walking,700,rising
19,dexter the walking dog,650,rising
20,meghan markle walking dog,600,rising
21,secure dog walking fields near me,550,rising
22,dog walking field,500,rising
23,why is my dog walking weird,400,rising
24,dog walking fanny pack,350,rising
25,walking the dog,100,top
26,walking my dog,61,top
27,dogs,51,top
28,dog walking jobs,50,top
29,walking dogs,50,top
30,jobs,49,top
31,dog walking near me,45,top
32,dog walk,29,top
33,walking dead dog,27,top
34,walking dead,24,top
35,walking your dog,24,top
36,dog walking business,18,top
37,dog park,16,top
38,the walking dead dog,16,top
39,the walking dead,15,top
40,dog walking services,15,top
41,wag,14,top
42,wag dog walking,14,top
43,dog walker,13,top
44,dog walking app,13,top
45,rover,12,top
46,jobs near me,12,top
47,rover dog walking,12,top
48,man walking dog,11,top
49,dog walking trails,11,top
