,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,600,+600%,/trends/explore?q=/m/01njq7&date=today+5-y,/m/01njq7,Alligators,Reptiles,rising,
1,550,+550%,/trends/explore?q=/m/03cvq1s&date=today+5-y,/m/03cvq1s,Walking the Dog,Song by Rufus Thomas,rising,
2,200,+200%,/trends/explore?q=/m/066vdx&date=today+5-y,/m/066vdx,Fanny pack,Topic,rising,
3,200,+200%,/trends/explore?q=/m/011pyj5r&date=today+5-y,/m/011pyj5r,Rover.com,Company,rising,
4,90,+90%,/trends/explore?q=/m/06m239&date=today+5-y,/m/06m239,Waterproofing,Topic,rising,
5,90,+90%,/trends/explore?q=/m/0h27nhw&date=today+5-y,/m/0h27nhw,Daryl Dixon,Fictional character,rising,
6,60,+60%,/trends/explore?q=/g/1s05mf7hn&date=today+5-y,/g/1s05mf7hn,Walking The Dog,Song by The Rolling Stones,rising,
7,60,+60%,/trends/explore?q=/m/05bjcj&date=today+5-y,/m/05bjcj,Hiking boot,Shoe,rising,
8,50,+50%,/trends/explore?q=/m/01b638&date=today+5-y,/m/01b638,Boot,Shoe,rising,
9,40,+40%,/trends/explore?q=/m/0hm03&date=today+5-y,/m/0hm03,Trail,Topic,rising,
10,100,100,/trends/explore?q=/m/0bt9lr&date=today+5-y,/m/0bt9lr,Dog,Animal,top,True
11,96,96,/trends/explore?q=/m/083mg&date=today+5-y,/m/083mg,Walking,Topic,top,True
12,69,69,/trends/explore?q=/m/02w8p8p&date=today+5-y,/m/02w8p8p,Dog walking,Topic,top,True
13,6,6,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
14,3,3,/trends/explore?q=/m/03011x&date=today+5-y,/m/03011x,Leash,Topic,top,True
15,3,3,/trends/explore?q=/m/0c3xpwy&date=today+5-y,/m/0c3xpwy,The Walking Dead,TV series,top,True
16,3,3,/trends/explore?q=/m/068hy&date=today+5-y,/m/068hy,Pet,Topic,top,True
17,3,3,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
18,2,2,/trends/explore?q=/m/0166ls&date=today+5-y,/m/0166ls,Park,Topic,top,True
19,2,2,/trends/explore?q=/m/0hm03&date=today+5-y,/m/0hm03,Trail,Topic,top,True
20,2,2,/trends/explore?q=/m/0d7s3w&date=today+5-y,/m/0d7s3w,Puppy,Topic,top,True
21,2,2,/trends/explore?q=/m/011pyj5r&date=today+5-y,/m/011pyj5r,Rover.com,Company,top,True
22,1,1,/trends/explore?q=/g/11h79tm3tr&date=today+5-y,/g/11h79tm3tr,Dog harness,Topic,top,True
23,1,1,/trends/explore?q=/m/035r7c&date=today+5-y,/m/035r7c,Leg,Topic,top,True
24,1,1,/trends/explore?q=/m/08qjs_&date=today+5-y,/m/08qjs_,Pet sitting,Topic,top,True
25,1,1,/trends/explore?q=/m/014jg3&date=today+5-y,/m/014jg3,Training,Topic,top,True
26,1,1,/trends/explore?q=/m/01b638&date=today+5-y,/m/01b638,Boot,Shoe,top,True
27,1,1,/trends/explore?q=/g/11dxd5ls4r&date=today+5-y,/g/11dxd5ls4r,WAG,Topic,top,True
28,1,1,/trends/explore?q=/m/02q2m0r&date=today+5-y,/m/02q2m0r,Dog toy,Topic,top,True
29,1,1,/trends/explore?q=/m/05bjcj&date=today+5-y,/m/05bjcj,Hiking boot,Shoe,top,True
30,0,<1,/trends/explore?q=/m/06m239&date=today+5-y,/m/06m239,Waterproofing,Topic,top,True
31,0,<1,/trends/explore?q=/m/03cvq1s&date=today+5-y,/m/03cvq1s,Walking the Dog,Song by Rufus Thomas,top,True
32,0,<1,/trends/explore?q=/m/0h27nhw&date=today+5-y,/m/0h27nhw,Daryl Dixon,Fictional character,top,True
33,0,<1,/trends/explore?q=/g/1s05mf7hn&date=today+5-y,/g/1s05mf7hn,Walking The Dog,Song by The Rolling Stones,top,True
34,0,<1,/trends/explore?q=/m/066vdx&date=today+5-y,/m/066vdx,Fanny pack,Topic,top,True
