date,Dropshipping Business,isPartial
2018-06-10,13,False
2018-06-17,15,False
2018-06-24,15,False
2018-07-01,15,False
2018-07-08,14,False
2018-07-15,16,False
2018-07-22,11,False
2018-07-29,13,False
2018-08-05,14,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,21,False
2018-09-02,18,False
2018-09-09,13,False
2018-09-16,12,False
2018-09-23,13,False
2018-09-30,13,False
2018-10-07,14,False
2018-10-14,18,False
2018-10-21,14,False
2018-10-28,16,False
2018-11-04,14,False
2018-11-11,17,False
2018-11-18,16,False
2018-11-25,20,False
2018-12-02,10,False
2018-12-09,14,False
2018-12-16,11,False
2018-12-23,12,False
2018-12-30,20,False
2019-01-06,17,False
2019-01-13,18,False
2019-01-20,21,False
2019-01-27,18,False
2019-02-03,20,False
2019-02-10,16,False
2019-02-17,23,False
2019-02-24,19,False
2019-03-03,24,False
2019-03-10,18,False
2019-03-17,22,False
2019-03-24,17,False
2019-03-31,16,False
2019-04-07,20,False
2019-04-14,19,False
2019-04-21,16,False
2019-04-28,20,False
2019-05-05,16,False
2019-05-12,17,False
2019-05-19,16,False
2019-05-26,17,False
2019-06-02,17,False
2019-06-09,13,False
2019-06-16,18,False
2019-06-23,13,False
2019-06-30,22,False
2019-07-07,19,False
2019-07-14,11,False
2019-07-21,9,False
2019-07-28,16,False
2019-08-04,18,False
2019-08-11,15,False
2019-08-18,18,False
2019-08-25,16,False
2019-09-01,17,False
2019-09-08,15,False
2019-09-15,16,False
2019-09-22,15,False
2019-09-29,16,False
2019-10-06,17,False
2019-10-13,14,False
2019-10-20,18,False
2019-10-27,19,False
2019-11-03,18,False
2019-11-10,23,False
2019-11-17,25,False
2019-11-24,18,False
2019-12-01,17,False
2019-12-08,19,False
2019-12-15,18,False
2019-12-22,25,False
2019-12-29,28,False
2020-01-05,24,False
2020-01-12,27,False
2020-01-19,27,False
2020-01-26,22,False
2020-02-02,24,False
2020-02-09,28,False
2020-02-16,25,False
2020-02-23,19,False
2020-03-01,18,False
2020-03-08,11,False
2020-03-15,18,False
2020-03-22,16,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,26,False
2020-04-19,28,False
2020-04-26,27,False
2020-05-03,32,False
2020-05-10,38,False
2020-05-17,29,False
2020-05-24,41,False
2020-05-31,26,False
2020-06-07,34,False
2020-06-14,33,False
2020-06-21,31,False
2020-06-28,29,False
2020-07-05,40,False
2020-07-12,36,False
2020-07-19,37,False
2020-07-26,39,False
2020-08-02,36,False
2020-08-09,35,False
2020-08-16,33,False
2020-08-23,29,False
2020-08-30,32,False
2020-09-06,30,False
2020-09-13,32,False
2020-09-20,35,False
2020-09-27,28,False
2020-10-04,27,False
2020-10-11,34,False
2020-10-18,25,False
2020-10-25,24,False
2020-11-01,27,False
2020-11-08,36,False
2020-11-15,33,False
2020-11-22,26,False
2020-11-29,41,False
2020-12-06,28,False
2020-12-13,35,False
2020-12-20,31,False
2020-12-27,46,False
2021-01-03,45,False
2021-01-10,40,False
2021-01-17,36,False
