,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,59100,Breakout,/trends/explore?q=/g/11j3r_l22l&date=today+5-y,/g/11j3r_l22l,Side job,Topic,rising,
1,54000,Breakout,/trends/explore?q=/m/0l4dz&date=today+5-y,/m/0l4dz,Electric generator,Topic,rising,
2,47300,Breakout,/trends/explore?q=/m/07sb61&date=today+5-y,/m/07sb61,Amazon Marketplace,Site,rising,
3,40800,Breakout,/trends/explore?q=/m/05fcbw8&date=today+5-y,/m/05fcbw8,Demand,Topic,rising,
4,32450,Breakout,/trends/explore?q=/g/11bvwcc_bz&date=today+5-y,/g/11bvwcc_bz,Google Business Profile,Software,rising,
5,250,+250%,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,rising,
6,250,+250%,/trends/explore?q=/g/121qyf0k&date=today+5-y,/g/121qyf0k,Success,Topic,rising,
7,250,+250%,/trends/explore?q=/m/019zvh&date=today+5-y,/m/019zvh,Print on demand,Topic,rising,
8,180,+180%,/trends/explore?q=/m/01bc25&date=today+5-y,/m/01bc25,Wealth,Topic,rising,
9,150,+150%,/trends/explore?q=/m/0rzjz20&date=today+5-y,/m/0rzjz20,Etsy,E-commerce company,rising,
10,80,+80%,/trends/explore?q=/m/0g_fl&date=today+5-y,/m/0g_fl,Investment,Topic,rising,
11,60,+60%,/trends/explore?q=/m/03y0kzr&date=today+5-y,/m/03y0kzr,Business idea,Topic,rising,
12,100,100,/trends/explore?q=/m/04q204&date=today+5-y,/m/04q204,Drop shipping,Topic,top,True
13,11,11,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
14,10,10,/trends/explore?q=/m/015hcf&date=today+5-y,/m/015hcf,Idea,Topic,top,True
15,9,9,/trends/explore?q=/m/02ntbw8&date=today+5-y,/m/02ntbw8,Shopify,E-commerce company,top,True
16,9,9,/trends/explore?q=/g/11c1wk85q7&date=today+5-y,/g/11c1wk85q7,Shopify,Topic,top,True
17,8,8,/trends/explore?q=/m/0mgkg&date=today+5-y,/m/0mgkg,Amazon.com,E-commerce company,top,True
18,8,8,/trends/explore?q=/m/03y0kzr&date=today+5-y,/m/03y0kzr,Business idea,Topic,top,True
19,7,7,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,top,True
20,6,6,/trends/explore?q=/m/02m96&date=today+5-y,/m/02m96,E-commerce,Topic,top,True
21,6,6,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
22,5,5,/trends/explore?q=/m/03ctrlg&date=today+5-y,/m/03ctrlg,Vendor,Topic,top,True
23,5,5,/trends/explore?q=/m/01n697&date=today+5-y,/m/01n697,Electronic business,Topic,top,True
24,5,5,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
25,4,4,/trends/explore?q=/g/12qbh1s54&date=today+5-y,/g/12qbh1s54,AliExpress,Topic,top,True
26,3,3,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
27,3,3,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
28,3,3,/trends/explore?q=/m/01hj9f&date=today+5-y,/m/01hj9f,Trade name,Topic,top,True
29,3,3,/trends/explore?q=/m/0g_8n&date=today+5-y,/m/0g_8n,Wholesaling,Topic,top,True
30,3,3,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
31,2,2,/trends/explore?q=/m/0z90c&date=today+5-y,/m/0z90c,eBay,E-commerce company,top,True
32,2,2,/trends/explore?q=/m/0hd4m&date=today+5-y,/m/0hd4m,Business model,Topic,top,True
33,2,2,/trends/explore?q=/m/0g_fl&date=today+5-y,/m/0g_fl,Investment,Topic,top,True
34,2,2,/trends/explore?q=/m/01pdc4&date=today+5-y,/m/01pdc4,Small business,Organization type,top,True
35,2,2,/trends/explore?q=/m/0b25v&date=today+5-y,/m/0b25v,License,Topic,top,True
36,1,1,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,top,True
