,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,850,+850%,/trends/explore?q=/g/120s1x7w&date=today+5-y,/g/120s1x7w,Nursing,Topic,rising,
1,650,+650%,/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
2,350,+350%,/trends/explore?q=/g/121s4f4y&date=today+5-y,/g/121s4f4y,Elderly person,Topic,rising,
3,100,+100%,/trends/explore?q=/m/0rymy5s&date=today+5-y,/m/0rymy5s,Quizlet,Computer software company,rising,
4,100,+100%,/trends/explore?q=/m/0fczf&date=today+5-y,/m/0fczf,Nurse,Profession,rising,
5,90,+90%,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,rising,
6,80,+80%,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,rising,
7,60,+60%,/trends/explore?q=/m/03190p&date=today+5-y,/m/03190p,Client,Computing,rising,
8,40,+40%,/trends/explore?q=/m/02p7f74&date=today+5-y,/m/02p7f74,CARE Package,Topic,rising,
9,100,100,/trends/explore?q=/m/05d473&date=today+5-y,/m/05d473,Elderly care,Topic,top,True
10,34,34,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
11,18,18,/trends/explore?q=/m/01hl70&date=today+5-y,/m/01hl70,Home health nursing,Topic,top,True
12,13,13,/trends/explore?q=/g/121s4f4y&date=today+5-y,/g/121s4f4y,Elderly person,Topic,top,True
13,11,11,/trends/explore?q=/m/027n7v&date=today+5-y,/m/027n7v,Nursing home,Topic,top,True
14,11,11,/trends/explore?q=/m/0kt51&date=today+5-y,/m/0kt51,Health,Topic,top,True
15,9,9,/trends/explore?q=/m/01mw2x&date=today+5-y,/m/01mw2x,Health care,Professional field,top,True
16,9,9,/trends/explore?q=/m/0lbz9&date=today+5-y,/m/0lbz9,Parent,Topic,top,True
17,6,6,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
18,6,6,/trends/explore?q=/m/028hfb&date=today+5-y,/m/028hfb,Patient,Topic,top,True
19,5,5,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
20,4,4,/trends/explore?q=/m/08cwls&date=today+5-y,/m/08cwls,Caregiver,Occupation,top,True
21,4,4,/trends/explore?q=/m/01g317&date=today+5-y,/m/01g317,Person,Topic,top,True
22,4,4,/trends/explore?q=/m/022hpx&date=today+5-y,/m/022hpx,Child care,Topic,top,True
23,4,4,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
24,3,3,/trends/explore?q=/m/09klv&date=today+5-y,/m/09klv,Dementia,Disease,top,True
25,3,3,/trends/explore?q=/m/04sh3&date=today+5-y,/m/04sh3,Medicine,Topic,top,True
26,3,3,/trends/explore?q=/g/120s1x7w&date=today+5-y,/g/120s1x7w,Nursing,Topic,top,True
27,3,3,/trends/explore?q=/m/016c68&date=today+5-y,/m/016c68,Adult,Topic,top,True
28,3,3,/trends/explore?q=/m/0fczf&date=today+5-y,/m/0fczf,Nurse,Profession,top,True
29,2,2,/trends/explore?q=/g/11q21srkt4&date=today+5-y,/g/11q21srkt4,old,Topic,top,True
30,2,2,/trends/explore?q=/m/035cyx&date=today+5-y,/m/035cyx,Ageing,Topic,top,True
31,2,2,/trends/explore?q=/m/01hbgs&date=today+5-y,/m/01hbgs,Old age,Topic,top,True
32,2,2,/trends/explore?q=/m/0fzh9&date=today+5-y,/m/0fzh9,Medicare,United States,top,True
33,2,2,/trends/explore?q=/m/0gkwpg&date=today+5-y,/m/0gkwpg,Respite care,Topic,top,True
