,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,895850,Breakout,/trends/explore?q=/m/0dl2z&date=today+5-y,/m/0dl2z,Rights,Topic,rising,
1,468300,Breakout,/trends/explore?q=/m/09j2d&date=today+5-y,/m/09j2d,Clothing,Topic,rising,
2,465350,Breakout,/trends/explore?q=/m/01nccs&date=today+5-y,/m/01nccs,Decision-making,Topic,rising,
3,438100,Breakout,/trends/explore?q=/m/07c1v&date=today+5-y,/m/07c1v,Technology,Topic,rising,
4,419300,Breakout,/trends/explore?q=/m/05sq5&date=today+5-y,/m/05sq5,Patent,Topic,rising,
5,395850,Breakout,/trends/explore?q=/m/0gw5h&date=today+5-y,/m/0gw5h,Assessment,Topic,rising,
6,383250,Breakout,/trends/explore?q=/g/122152pm&date=today+5-y,/g/122152pm,Technique,Topic,rising,
7,367100,Breakout,/trends/explore?q=/m/03ctrlg&date=today+5-y,/m/03ctrlg,Vendor,Topic,rising,
8,366050,Breakout,/trends/explore?q=/m/05wrt&date=today+5-y,/m/05wrt,Property,Topic,rising,
9,359500,Breakout,/trends/explore?q=/m/0rymy5s&date=today+5-y,/m/0rymy5s,Quizlet,Computer software company,rising,
10,352900,Breakout,/trends/explore?q=/m/02v_93z&date=today+5-y,/m/02v_93z,Function,Mathematics,rising,
11,343400,Breakout,/trends/explore?q=/m/092sx5&date=today+5-y,/m/092sx5,Pricing strategies,Topic,rising,
12,340000,Breakout,/trends/explore?q=/m/0dkw5&date=today+5-y,/m/0dkw5,Machine,Topic,rising,
13,332550,Breakout,/trends/explore?q=/m/01wg0g&date=today+5-y,/m/01wg0g,Marketing strategy,Topic,rising,
14,331950,Breakout,/trends/explore?q=/m/048krps&date=today+5-y,/m/048krps,Choice,Topic,rising,
15,327750,Breakout,/trends/explore?q=/m/01qygl&date=today+5-y,/m/01qygl,Procter & Gamble,Manufacturing company,rising,
16,321100,Breakout,/trends/explore?q=/m/080d1js&date=today+5-y,/m/080d1js,Supply,Economics,rising,
17,308750,Breakout,/trends/explore?q=/m/0f29w&date=today+5-y,/m/0f29w,Cash flow,Topic,rising,
18,308350,Breakout,/trends/explore?q=/m/07clx&date=today+5-y,/m/07clx,Tea,Beverage,rising,
19,307750,Breakout,/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
20,291150,Breakout,/trends/explore?q=/m/02y3rj&date=today+5-y,/m/02y3rj,Presentation,Topic,rising,
21,285900,Breakout,/trends/explore?q=/m/02x395&date=today+5-y,/m/02x395,Multiple choice,Topic,rising,
22,277800,Breakout,/trends/explore?q=/m/01k1q1&date=today+5-y,/m/01k1q1,Marketing management,Discipline,rising,
23,275800,Breakout,/trends/explore?q=/m/026kxv&date=today+5-y,/m/026kxv,Incentive,Topic,rising,
24,273850,Breakout,/trends/explore?q=/g/121dvs7_&date=today+5-y,/g/121dvs7_,Retail assortment strategies,Topic,rising,
25,100,100,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
26,81,81,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
27,61,61,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
28,57,57,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
29,47,47,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
30,32,32,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,top,True
31,28,28,/trends/explore?q=/m/01jsq_&date=today+5-y,/m/01jsq_,Distribution,Marketing,top,True
32,27,27,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,top,True
33,25,25,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
34,25,25,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
35,25,25,/trends/explore?q=/m/01cd9&date=today+5-y,/m/01cd9,Brand,Topic,top,True
36,24,24,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
37,23,23,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
38,21,21,/trends/explore?q=/g/122mkxsz&date=today+5-y,/g/122mkxsz,Promotion,Marketing,top,True
39,18,18,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
40,18,18,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
41,16,16,/trends/explore?q=/m/025rt4t&date=today+5-y,/m/025rt4t,Purchasing,Topic,top,True
42,16,16,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
43,15,15,/trends/explore?q=/m/02s26t&date=today+5-y,/m/02s26t,Goods,Topic,top,True
44,15,15,/trends/explore?q=/m/0191_7&date=today+5-y,/m/0191_7,Retail,Topic,top,True
45,14,14,/trends/explore?q=/m/09t4t&date=today+5-y,/m/09t4t,Manufacturing,Topic,top,True
46,14,14,/trends/explore?q=/m/0dl2z&date=today+5-y,/m/0dl2z,Rights,Topic,top,True
47,13,13,/trends/explore?q=/m/01jsvy&date=today+5-y,/m/01jsvy,Pricing,Topic,top,True
48,13,13,/trends/explore?q=/m/04gb7&date=today+5-y,/m/04gb7,Law,Topic,top,True
49,13,13,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,top,True
