date,Freelancing,isPartial
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,21,False
2018-07-01,24,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,26,False
2018-08-05,22,False
2018-08-12,21,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,24,False
2018-09-09,27,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,23,False
2018-10-07,25,False
2018-10-14,21,False
2018-10-21,23,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,21,False
2018-11-18,23,False
2018-11-25,26,False
2018-12-02,20,False
2018-12-09,22,False
2018-12-16,23,False
2018-12-23,23,False
2018-12-30,21,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,27,False
2019-01-27,26,False
2019-02-03,24,False
2019-02-10,26,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,26,False
2019-03-10,27,False
2019-03-17,24,False
2019-03-24,27,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,28,False
2019-04-21,24,False
2019-04-28,26,False
2019-05-05,27,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,26,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,32,False
2019-06-23,25,False
2019-06-30,27,False
2019-07-07,34,False
2019-07-14,29,False
2019-07-21,30,False
2019-07-28,28,False
2019-08-04,23,False
2019-08-11,22,False
2019-08-18,27,False
2019-08-25,29,False
2019-09-01,25,False
2019-09-08,30,False
2019-09-15,29,False
2019-09-22,27,False
2019-09-29,25,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,25,False
2019-10-27,23,False
2019-11-03,27,False
2019-11-10,27,False
2019-11-17,31,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,25,False
2019-12-15,27,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,31,False
2020-01-12,30,False
2020-01-19,31,False
2020-01-26,33,False
2020-02-02,34,False
2020-02-09,32,False
2020-02-16,33,False
2020-02-23,31,False
2020-03-01,33,False
2020-03-08,29,False
2020-03-15,30,False
2020-03-22,33,False
2020-03-29,38,False
2020-04-05,34,False
2020-04-12,33,False
2020-04-19,32,False
2020-04-26,33,False
2020-05-03,35,False
2020-05-10,34,False
2020-05-17,36,False
2020-05-24,36,False
2020-05-31,38,False
2020-06-07,41,False
2020-06-14,39,False
2020-06-21,43,False
2020-06-28,43,False
2020-07-05,44,False
2020-07-12,44,False
2020-07-19,46,False
2020-07-26,42,False
2020-08-02,39,False
2020-08-09,42,False
2020-08-16,42,False
2020-08-23,41,False
2020-08-30,44,False
2020-09-06,46,False
2020-09-13,38,False
2020-09-20,40,False
2020-09-27,36,False
2020-10-04,35,False
2020-10-11,35,False
2020-10-18,38,False
2020-10-25,37,False
2020-11-01,32,False
2020-11-08,29,False
2020-11-15,33,False
2020-11-22,37,False
2020-11-29,39,False
2020-12-06,37,False
2020-12-13,32,False
2020-12-20,40,False
2020-12-27,36,False
2021-01-03,42,False
2021-01-10,39,False
2021-01-17,42,False
2021-01-24,35,False
2021-01-31,35,False
2021-02-07,38,False
2021-02-14,38,False
2021-02-21,36,False
2021-02-28,36,False
2021-03-07,39,False
2021-03-14,39,False
2021-03-21,38,False
2021-03-28,41,False
2021-04-04,42,False
2021-04-11,42,False
2021-04-18,52,False
2021-04-25,53,False
2021-05-02,50,False
2021-05-09,45,False
2021-05-16,45,False
2021-05-23,49,False
2021-05-30,46,False
2021-06-06,46,False
2021-06-13,44,False
2021-06-20,43,False
2021-06-27,48,False
2021-07-04,50,False
2021-07-11,44,False
2021-07-18,39,False
2021-07-25,45,False
2021-08-01,45,False
2021-08-08,45,False
2021-08-15,47,False
2021-08-22,47,False
2021-08-29,44,False
2021-09-05,44,False
2021-09-12,41,False
2021-09-19,38,False
2021-09-26,41,False
2021-10-03,39,False
2021-10-10,40,False
2021-10-17,38,False
2021-10-24,39,False
2021-10-31,35,False
2021-11-07,39,False
