,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,42500,Breakout,/trends/explore?q=/g/11nx1mz66q&date=today+5-y,/g/11nx1mz66q,DigiSkills.pk,Topic,rising,
1,3000,"+3,000%",/trends/explore?q=/g/1q6jzlv6v&date=today+5-y,/g/1q6jzlv6v,Data entry,Topic,rising,
2,1050,"+1,050%",/trends/explore?q=/g/11bc5c54l4&date=today+5-y,/g/11bc5c54l4,Virtual assistant,Topic,rising,
3,700,+700%,/trends/explore?q=/g/11fq0_d74m&date=today+5-y,/g/11fq0_d74m,Rev,Company,rising,
4,650,+650%,/trends/explore?q=/m/02svsf&date=today+5-y,/m/02svsf,Pakistani Rupee,Currency,rising,
5,450,+450%,/trends/explore?q=/g/1214lylq&date=today+5-y,/g/1214lylq,Commerce,Topic,rising,
6,300,+300%,/trends/explore?q=/m/0gky13v&date=today+5-y,/m/0gky13v,Fiverr,Company,rising,
7,300,+300%,/trends/explore?q=/m/01zsxh&date=today+5-y,/m/01zsxh,Skill,Topic,rising,
8,300,+300%,/trends/explore?q=/m/02hxcvy&date=today+5-y,/m/02hxcvy,Urdu,Spoken language,rising,
9,250,+250%,/trends/explore?q=/m/0dlmclp&date=today+5-y,/m/0dlmclp,Online marketplace,Topic,rising,
10,200,+200%,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,rising,
11,200,+200%,/trends/explore?q=/m/05fcbw8&date=today+5-y,/m/05fcbw8,Demand,Topic,rising,
12,200,+200%,/trends/explore?q=/m/05sb1&date=today+5-y,/m/05sb1,Pakistan,Country in South Asia,rising,
13,200,+200%,/trends/explore?q=/m/0344pd&date=today+5-y,/m/0344pd,Affiliate marketing,Topic,rising,
14,170,+170%,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,rising,
15,170,+170%,/trends/explore?q=/m/0316dw&date=today+5-y,/m/0316dw,Typing,Topic,rising,
16,160,+160%,/trends/explore?q=/g/11j3r_l22l&date=today+5-y,/g/11j3r_l22l,Side job,Topic,rising,
17,160,+160%,/trends/explore?q=/m/0jt3_q3&date=today+5-y,/m/0jt3_q3,Data science,Field of study,rising,
18,140,+140%,/trends/explore?q=/m/014cnc&date=today+5-y,/m/014cnc,Student,Topic,rising,
19,90,+90%,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,rising,
20,100,100,/trends/explore?q=/m/02g0j0&date=today+5-y,/m/02g0j0,Freelancer,Job title,top,True
21,17,17,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
22,9,9,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
23,5,5,/trends/explore?q=/m/02pzh5d&date=today+5-y,/m/02pzh5d,Upwork Inc.,Company,top,True
24,4,4,/trends/explore?q=/m/0gky13v&date=today+5-y,/m/0gky13v,Fiverr,Company,top,True
25,4,4,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,top,True
26,4,4,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,top,True
27,4,4,/trends/explore?q=/m/02cwm&date=today+5-y,/m/02cwm,Design,Topic,top,True
28,4,4,/trends/explore?q=/m/01zsxh&date=today+5-y,/m/01zsxh,Skill,Topic,top,True
29,3,3,/trends/explore?q=/m/0bwm3p7&date=today+5-y,/m/0bwm3p7,Freelancer.com,Company,top,True
30,3,3,/trends/explore?q=/m/05sb1&date=today+5-y,/m/05sb1,Pakistan,Country in South Asia,top,True
31,2,2,/trends/explore?q=/m/014cnc&date=today+5-y,/m/014cnc,Student,Topic,top,True
32,2,2,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,top,True
33,2,2,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
34,2,2,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
35,2,2,/trends/explore?q=/m/0162b&date=today+5-y,/m/0162b,Bangladesh,Country in South Asia,top,True
36,2,2,/trends/explore?q=/m/0156dy&date=today+5-y,/m/0156dy,Project,Topic,top,True
37,1,1,/trends/explore?q=/m/018j6p&date=today+5-y,/m/018j6p,Software Developer,Career,top,True
38,1,1,/trends/explore?q=/m/021sdg&date=today+5-y,/m/021sdg,Graphics,Topic,top,True
39,1,1,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,top,True
40,1,1,/trends/explore?q=/m/02hxcvy&date=today+5-y,/m/02hxcvy,Urdu,Spoken language,top,True
41,1,1,/trends/explore?q=/m/03c31&date=today+5-y,/m/03c31,Graphic design,Academic discipline,top,True
42,1,1,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,top,True
43,1,1,/trends/explore?q=/m/05fcbw8&date=today+5-y,/m/05fcbw8,Demand,Topic,top,True
44,1,1,/trends/explore?q=/m/0316dw&date=today+5-y,/m/0316dw,Typing,Topic,top,True
