geoName,Influencer Marketing
Algeria,16
Argentina,13
Australia,32
Austria,44
Bangladesh,39
Belarus,14
Belgium,32
Brazil,12
Bulgaria,19
Canada,34
Chile,13
China,100
Colombia,21
Czechia,22
Denmark,72
Dominican Republic,18
Ecuador,25
Egypt,28
Finland,20
France,9
Germany,53
Greece,17
Hong Kong,42
Hungary,21
India,37
Indonesia,27
Iran,6
Iraq,22
Ireland,42
Israel,21
Italy,30
Japan,2
Kazakhstan,9
Kenya,49
Lebanon,44
Lithuania,27
Malaysia,50
Mexico,20
Morocco,27
Nepal,58
Netherlands,47
New Zealand,26
Nigeria,39
Norway,25
Pakistan,57
Peru,22
Philippines,52
Poland,19
Portugal,24
Romania,26
Russia,14
Saudi Arabia,10
Serbia,19
Singapore,89
Slovakia,17
South Africa,37
South Korea,34
Spain,21
Sri Lanka,39
Sweden,45
Switzerland,39
Taiwan,17
Thailand,37
Türkiye,16
Ukraine,11
United Arab Emirates,59
United Kingdom,50
United States,36
Venezuela,20
Vietnam,47
