,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,20100,Breakout,/trends/explore?q=/g/1214lylq&date=today+5-y,/g/1214lylq,Commerce,Topic,rising,
1,6750,Breakout,/trends/explore?q=/g/11f555cn8l&date=today+5-y,/g/11f555cn8l,TikTok,Website,rising,
2,1650,"+1,650%",/trends/explore?q=/m/03m3ns0&date=today+5-y,/m/03m3ns0,Internet celebrity,Topic,rising,
3,850,+850%,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,rising,
4,650,+650%,/trends/explore?q=/g/11dxpkklnp&date=today+5-y,/g/11dxpkklnp,IMAgency B.V.,Media company,rising,
5,600,+600%,/trends/explore?q=/g/11c20d068z&date=today+5-y,/g/11c20d068z,GRIN,Topic,rising,
6,600,+600%,/trends/explore?q=/g/11c6x1chb6&date=today+5-y,/g/11c6x1chb6,Influencer Marketing Hub,Topic,rising,
7,350,+350%,/trends/explore?q=/m/03b_q79&date=today+5-y,/m/03b_q79,Content creation,Topic,rising,
8,300,+300%,/trends/explore?q=/m/02nml7&date=today+5-y,/m/02nml7,Sponsor,Film company role or service,rising,
9,300,+300%,/trends/explore?q=/m/01w362&date=today+5-y,/m/01w362,Social network,Topic,rising,
10,170,+170%,/trends/explore?q=/m/029kh&date=today+5-y,/m/029kh,Digital,Topic,rising,
11,170,+170%,/trends/explore?q=/m/01jsq_&date=today+5-y,/m/01jsq_,Distribution,Marketing,rising,
12,150,+150%,/trends/explore?q=/m/01s560&date=today+5-y,/m/01s560,Collaboration,Topic,rising,
13,150,+150%,/trends/explore?q=/m/02wvbrv&date=today+5-y,/m/02wvbrv,Search engine,Software type,rising,
14,70,+70%,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,rising,
15,60,+60%,/trends/explore?q=/m/0344pd&date=today+5-y,/m/0344pd,Affiliate marketing,Topic,rising,
16,40,+40%,/trends/explore?q=/m/01wg0g&date=today+5-y,/m/01wg0g,Marketing strategy,Topic,rising,
17,100,100,/trends/explore?q=/m/026bgmq&date=today+5-y,/m/026bgmq,Influencer marketing,Topic,top,True
18,59,59,/trends/explore?q=/g/11bc5n6v6b&date=today+5-y,/g/11bc5n6v6b,Influencer,Profession,top,True
19,33,33,/trends/explore?q=/m/03m3ns0&date=today+5-y,/m/03m3ns0,Internet celebrity,Topic,top,True
20,8,8,/trends/explore?q=/g/11c6x1chb6&date=today+5-y,/g/11c6x1chb6,Influencer Marketing Hub,Topic,top,True
21,7,7,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,top,True
22,6,6,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,top,True
23,4,4,/trends/explore?q=/m/01cd9&date=today+5-y,/m/01cd9,Brand,Topic,top,True
24,4,4,/trends/explore?q=/g/11f555cn8l&date=today+5-y,/g/11f555cn8l,TikTok,Website,top,True
25,4,4,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
26,3,3,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
27,3,3,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,top,True
28,2,2,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
29,2,2,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
30,2,2,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,top,True
31,2,2,/trends/explore?q=/m/0gpmcb&date=today+5-y,/m/0gpmcb,Social media marketing,Topic,top,True
32,2,2,/trends/explore?q=/m/0344pd&date=today+5-y,/m/0344pd,Affiliate marketing,Topic,top,True
33,2,2,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
34,2,2,/trends/explore?q=/m/0ky_d&date=today+5-y,/m/0ky_d,Computing platform,Kind of software,top,True
35,1,1,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
36,1,1,/trends/explore?q=/m/06mnr&date=today+5-y,/m/06mnr,Statistics,Discipline,top,True
37,1,1,/trends/explore?q=/m/01wg0g&date=today+5-y,/m/01wg0g,Marketing strategy,Topic,top,True
38,1,1,/trends/explore?q=/m/07k1x&date=today+5-y,/m/07k1x,Tool,Topic,top,True
39,1,1,/trends/explore?q=/m/05zc0s&date=today+5-y,/m/05zc0s,Advertising campaign,Topic,top,True
40,1,1,/trends/explore?q=/m/029kh&date=today+5-y,/m/029kh,Digital,Topic,top,True
41,0,<1,/trends/explore?q=/m/02wvbrv&date=today+5-y,/m/02wvbrv,Search engine,Software type,top,True
