date,Local Handyman,isPartial
2018-06-10,18,False
2018-06-17,16,False
2018-06-24,17,False
2018-07-01,14,False
2018-07-08,17,False
2018-07-15,16,False
2018-07-22,18,False
2018-07-29,13,False
2018-08-05,25,False
2018-08-12,14,False
2018-08-19,11,False
2018-08-26,18,False
2018-09-02,20,False
2018-09-09,21,False
2018-09-16,15,False
2018-09-23,15,False
2018-09-30,5,False
2018-10-07,13,False
2018-10-14,10,False
2018-10-21,0,False
2018-10-28,17,False
2018-11-04,21,False
2018-11-11,15,False
2018-11-18,12,False
2018-11-25,22,False
2018-12-02,25,False
2018-12-09,21,False
2018-12-16,9,False
2018-12-23,15,False
2018-12-30,21,False
2019-01-06,17,False
2019-01-13,21,False
2019-01-20,12,False
2019-01-27,12,False
2019-02-03,16,False
2019-02-10,14,False
2019-02-17,19,False
2019-02-24,18,False
2019-03-03,24,False
2019-03-10,4,False
2019-03-17,16,False
2019-03-24,21,False
2019-03-31,25,False
2019-04-07,20,False
2019-04-14,14,False
2019-04-21,34,False
2019-04-28,15,False
2019-05-05,22,False
2019-05-12,18,False
2019-05-19,21,False
2019-05-26,19,False
2019-06-02,25,False
2019-06-09,21,False
2019-06-16,20,False
2019-06-23,16,False
2019-06-30,9,False
2019-07-07,19,False
2019-07-14,21,False
2019-07-21,28,False
2019-07-28,17,False
2019-08-04,15,False
2019-08-11,22,False
2019-08-18,16,False
2019-08-25,21,False
2019-09-01,17,False
2019-09-08,12,False
2019-09-15,18,False
2019-09-22,24,False
2019-09-29,16,False
2019-10-06,18,False
2019-10-13,20,False
2019-10-20,25,False
2019-10-27,20,False
2019-11-03,21,False
2019-11-10,12,False
2019-11-17,15,False
2019-11-24,13,False
2019-12-01,22,False
2019-12-08,18,False
2019-12-15,15,False
2019-12-22,20,False
2019-12-29,20,False
2020-01-05,19,False
2020-01-12,17,False
2020-01-19,27,False
2020-01-26,14,False
2020-02-02,23,False
2020-02-09,26,False
2020-02-16,18,False
2020-02-23,23,False
2020-03-01,12,False
2020-03-08,24,False
2020-03-15,17,False
2020-03-22,5,False
2020-03-29,3,False
2020-04-05,16,False
2020-04-12,10,False
2020-04-19,13,False
2020-04-26,19,False
2020-05-03,18,False
2020-05-10,13,False
2020-05-17,21,False
