,query,value,mode
0,local guide program,334800,rising
1,handyman service near me,89150,rising
2,local plumber near me,49200,rising
3,checkatrade handyman,32800,rising
4,home repair near me,29800,rising
5,my business,29700,rising
6,carpenter near me,27650,rising
7,ace handyman services,25150,rising
8,local gardeners near me,23950,rising
9,carpenters near me,23300,rising
10,local electricians near me,22750,rising
11,checkatrade,22700,rising
12,takl,20050,rising
13,handyman saitou in another world,13500,rising
14,next door,12900,rising
15,handyman no job too small near me,10500,rising
16,trust a trader,9000,rising
17,nextdoor,8750,rising
18,ace hardware,6800,rising
19,local handyman services near me,350,rising
20,handyman services near me,250,rising
21,handyman jobs near me,250,rising
22,handyman near me,250,rising
23,local handyman near me,250,rising
24,local handyman services,60,rising
25,handyman services,100,top
26,local handyman services,100,top
27,local handyman near me,84,top
28,handyman near me,84,top
29,local handyman services near me,26,top
30,handyman services near me,25,top
31,local handyman service,17,top
32,local handyman jobs,14,top
33,local jobs,14,top
34,handyman jobs,14,top
35,local guide program,14,top
36,handy man,7,top
37,local handy man,7,top
38,handyman app,6,top
39,local handyman app,6,top
40,local contractors,6,top
41,handyman jobs near me,5,top
42,local plumbers,5,top
43,local plumber,5,top
44,find local handyman services,5,top
45,handyman service near me,4,top
46,local plumber near me,2,top
47,checkatrade handyman,1,top
48,home repair near me,1,top
49,my business,1,top
