,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,329350,Breakout,/trends/explore?q=/g/11fmgv370m&date=today+5-y,/g/11fmgv370m,Local Guides,Topic,rising,
1,20300,Breakout,/trends/explore?q=/m/0hgp88s&date=today+5-y,/m/0hgp88s,Nextdoor,Company,rising,
2,17900,Breakout,/trends/explore?q=/m/0p8g&date=today+5-y,/m/0p8g,Assembly language,Computer programming language,rising,
3,17200,Breakout,/trends/explore?q=/m/049_3v&date=today+5-y,/m/049_3v,Yard,Land,rising,
4,12550,Breakout,/trends/explore?q=/m/0n8vq&date=today+5-y,/m/0n8vq,Battersea,Topic,rising,
5,12400,Breakout,/trends/explore?q=/g/11ft8xr_xz&date=today+5-y,/g/11ft8xr_xz,Outer Banks,TV series,rising,
6,12000,Breakout,/trends/explore?q=/m/0gl0q2&date=today+5-y,/m/0gl0q2,Property maintenance,Topic,rising,
7,11300,Breakout,/trends/explore?q=/m/0swt2&date=today+5-y,/m/0swt2,Joinery,Topic,rising,
8,250,+250%,/trends/explore?q=/g/11bvwcc_bz&date=today+5-y,/g/11bvwcc_bz,Google Business Profile,Software,rising,
9,180,+180%,/trends/explore?q=/m/0h398j&date=today+5-y,/m/0h398j,Roofer,Occupation,rising,
10,140,+140%,/trends/explore?q=/m/01prdc&date=today+5-y,/m/01prdc,Limited liability company,Private limited company,rising,
11,120,+120%,/trends/explore?q=/g/11b6df974h&date=today+5-y,/g/11b6df974h,Checkatrade,Corporation,rising,
12,100,100,/trends/explore?q=/m/091_9x&date=today+5-y,/m/091_9x,Handyman,Topic,top,True
13,4,4,/trends/explore?q=/g/11fmgv370m&date=today+5-y,/g/11fmgv370m,Local Guides,Topic,top,True
14,2,2,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
15,2,2,/trends/explore?q=/m/01jp58&date=today+5-y,/m/01jp58,Plumber,Topic,top,True
16,2,2,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
17,2,2,/trends/explore?q=/m/04yzhv&date=today+5-y,/m/04yzhv,Home repair,Topic,top,True
18,2,2,/trends/explore?q=/m/04s84y&date=today+5-y,/m/04s84y,General contractor,Project involvement,top,True
19,1,1,/trends/explore?q=/m/01bw9x&date=today+5-y,/m/01bw9x,Electrician,Line of employment,top,True
20,1,1,/trends/explore?q=/m/019x4f&date=today+5-y,/m/019x4f,Carpenter,Occupation,top,True
21,1,1,/trends/explore?q=/m/0b_zf&date=today+5-y,/m/0b_zf,Plumbing,Topic,top,True
22,1,1,/trends/explore?q=/m/0bf114&date=today+5-y,/m/0bf114,Angi,Company,top,True
23,1,1,/trends/explore?q=/m/01prdc&date=today+5-y,/m/01prdc,Limited liability company,Private limited company,top,True
24,1,1,/trends/explore?q=/m/03bm6&date=today+5-y,/m/03bm6,Gardener,Topic,top,True
25,1,1,/trends/explore?q=/m/0blz9&date=today+5-y,/m/0blz9,Fence,Topic,top,True
26,0,<1,/trends/explore?q=/g/11b6df974h&date=today+5-y,/g/11b6df974h,Checkatrade,Corporation,top,True
27,0,<1,/trends/explore?q=/g/11bvwcc_bz&date=today+5-y,/g/11bvwcc_bz,Google Business Profile,Software,top,True
28,0,<1,/trends/explore?q=/m/0h398j&date=today+5-y,/m/0h398j,Roofer,Occupation,top,True
29,0,<1,/trends/explore?q=/m/0hgp88s&date=today+5-y,/m/0hgp88s,Nextdoor,Company,top,True
30,0,<1,/trends/explore?q=/m/0p8g&date=today+5-y,/m/0p8g,Assembly language,Computer programming language,top,True
31,0,<1,/trends/explore?q=/m/049_3v&date=today+5-y,/m/049_3v,Yard,Land,top,True
32,0,<1,/trends/explore?q=/m/0n8vq&date=today+5-y,/m/0n8vq,Battersea,Topic,top,True
33,0,<1,/trends/explore?q=/g/11ft8xr_xz&date=today+5-y,/g/11ft8xr_xz,Outer Banks,TV series,top,True
34,0,<1,/trends/explore?q=/m/0gl0q2&date=today+5-y,/m/0gl0q2,Property maintenance,Topic,top,True
35,0,<1,/trends/explore?q=/m/0swt2&date=today+5-y,/m/0swt2,Joinery,Topic,top,True
