,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,36000,Breakout,/trends/explore?q=/g/11fmgv370m&date=today+5-y,/g/11fmgv370m,Local Guides,Topic,rising,
1,3450,"+3,450%",/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
2,2900,"+2,900%",/trends/explore?q=/m/048krps&date=today+5-y,/m/048krps,Choice,Topic,rising,
3,350,+350%,/trends/explore?q=/g/11f4_3s_ff&date=today+5-y,/g/11f4_3s_ff,"Local Auto Sales, LLC",Topic,rising,
4,300,+300%,/trends/explore?q=/m/01nccs&date=today+5-y,/m/01nccs,Decision-making,Topic,rising,
5,300,+300%,/trends/explore?q=/m/03ytc&date=today+5-y,/m/03ytc,Computers and information technology,Topic,rising,
6,300,+300%,/trends/explore?q=/m/06mpr&date=today+5-y,/m/06mpr,Set,Mathematics,rising,
7,300,+300%,/trends/explore?q=/g/120qdpxk&date=today+5-y,/g/120qdpxk,Employee,Topic,rising,
8,300,+300%,/trends/explore?q=/m/0gw5h&date=today+5-y,/m/0gw5h,Assessment,Topic,rising,
9,300,+300%,/trends/explore?q=/m/01jbm&date=today+5-y,/m/01jbm,Behavior,Topic,rising,
10,250,+250%,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,rising,
11,250,+250%,/trends/explore?q=/m/0217bt&date=today+5-y,/m/0217bt,Planning,Topic,rising,
12,250,+250%,/trends/explore?q=/m/03g_1kv&date=today+5-y,/m/03g_1kv,Goal,Topic,rising,
13,250,+250%,/trends/explore?q=/m/01ss7q&date=today+5-y,/m/01ss7q,Public,Topic,rising,
14,250,+250%,/trends/explore?q=/m/02q9lq2&date=today+5-y,/m/02q9lq2,Resource,Topic,rising,
15,200,+200%,/trends/explore?q=/m/0rymy5s&date=today+5-y,/m/0rymy5s,Quizlet,Computer software company,rising,
16,200,+200%,/trends/explore?q=/m/02bjhh&date=today+5-y,/m/02bjhh,Payroll,Topic,rising,
17,200,+200%,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,rising,
18,200,+200%,/trends/explore?q=/m/03s26&date=today+5-y,/m/03s26,Individual,Topic,rising,
19,200,+200%,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,rising,
20,200,+200%,/trends/explore?q=/m/018tl7&date=today+5-y,/m/018tl7,Competition,Topic,rising,
21,200,+200%,/trends/explore?q=/m/01lhf&date=today+5-y,/m/01lhf,Communication,Field of study,rising,
22,160,+160%,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,rising,
23,150,+150%,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,rising,
24,150,+150%,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,rising,
25,100,100,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
26,37,37,/trends/explore?q=/m/07g82&date=today+5-y,/m/07g82,Tax,Topic,top,True
27,32,32,/trends/explore?q=/m/01r9cn&date=today+5-y,/m/01r9cn,Sales tax,Topic,top,True
28,16,16,/trends/explore?q=/m/01x1q9&date=today+5-y,/m/01x1q9,Rate,Mathematics,top,True
29,9,9,/trends/explore?q=/m/06_02&date=today+5-y,/m/06_02,State,Polity,top,True
30,9,9,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
31,8,8,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
32,8,8,/trends/explore?q=/g/11fmgv370m&date=today+5-y,/g/11fmgv370m,Local Guides,Topic,top,True
33,5,5,/trends/explore?q=/m/07b_l&date=today+5-y,/m/07b_l,Texas,US state,top,True
34,5,5,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
35,4,4,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
36,4,4,/trends/explore?q=/m/03wj0&date=today+5-y,/m/03wj0,Income,Topic,top,True
37,4,4,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,top,True
38,4,4,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
39,4,4,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
40,4,4,/trends/explore?q=/m/0m4jc&date=today+5-y,/m/0m4jc,U.S. County,United States,top,True
41,4,4,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
42,4,4,/trends/explore?q=/m/03c08h&date=today+5-y,/m/03c08h,Tax rate,Topic,top,True
43,4,4,/trends/explore?q=/m/02rmnn&date=today+5-y,/m/02rmnn,Garage sale,Topic,top,True
44,3,3,/trends/explore?q=/m/07h34&date=today+5-y,/m/07h34,Tennessee,US state,top,True
45,3,3,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
46,3,3,/trends/explore?q=/m/02xry&date=today+5-y,/m/02xry,Florida,US state,top,True
47,3,3,/trends/explore?q=/m/07n7lk&date=today+5-y,/m/07n7lk,Car dealership,Topic,top,True
48,3,3,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
49,3,3,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,top,True
