,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,261700,Breakout,/trends/explore?q=/g/11fmgv370m&date=today+5-y,/g/11fmgv370m,Local Guides,Topic,rising,
1,90750,Breakout,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,rising,
2,4550,"+4,550%",/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
3,3050,"+3,050%",/trends/explore?q=/g/122152pm&date=today+5-y,/g/122152pm,Technique,Topic,rising,
4,2700,"+2,700%",/trends/explore?q=/m/02wvbrv&date=today+5-y,/m/02wvbrv,Search engine,Software type,rising,
5,1650,"+1,650%",/trends/explore?q=/m/048krps&date=today+5-y,/m/048krps,Choice,Topic,rising,
6,800,+800%,/trends/explore?q=/m/01w3mm&date=today+5-y,/m/01w3mm,Graph,Discrete mathematics,rising,
7,500,+500%,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,rising,
8,500,+500%,/trends/explore?q=/g/120qdpxk&date=today+5-y,/g/120qdpxk,Employee,Topic,rising,
9,500,+500%,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,rising,
10,400,+400%,/trends/explore?q=/m/0bhrmc&date=today+5-y,/m/0bhrmc,Value,Ethics and social sciences,rising,
11,400,+400%,/trends/explore?q=/m/03ytc&date=today+5-y,/m/03ytc,Computers and information technology,Topic,rising,
12,350,+350%,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,rising,
13,350,+350%,/trends/explore?q=/m/01w28k&date=today+5-y,/m/01w28k,Marginal cost,Topic,rising,
14,300,+300%,/trends/explore?q=/m/01nccs&date=today+5-y,/m/01nccs,Decision-making,Topic,rising,
15,300,+300%,/trends/explore?q=/m/03g_1kv&date=today+5-y,/m/03g_1kv,Goal,Topic,rising,
16,250,+250%,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,rising,
17,250,+250%,/trends/explore?q=/m/07k1x&date=today+5-y,/m/07k1x,Tool,Topic,rising,
18,250,+250%,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,rising,
19,160,+160%,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,rising,
20,110,+110%,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,rising,
21,110,+110%,/trends/explore?q=/m/0806jls&date=today+5-y,/m/0806jls,Production,Economics,rising,
22,100,+100%,/trends/explore?q=/m/025rt4t&date=today+5-y,/m/025rt4t,Purchasing,Topic,rising,
23,100,+100%,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,rising,
24,90,+90%,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,rising,
25,100,100,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
26,20,20,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
27,13,13,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
28,12,12,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
29,12,12,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
30,10,10,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,top,True
31,9,9,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
32,8,8,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
33,8,8,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
34,7,7,/trends/explore?q=/m/0h94y36&date=today+5-y,/m/0h94y36,Mobile app,Mobile game device,top,True
35,7,7,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
36,6,6,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
37,6,6,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,top,True
38,6,6,/trends/explore?q=/m/02s26t&date=today+5-y,/m/02s26t,Goods,Topic,top,True
39,5,5,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
40,5,5,/trends/explore?q=/g/11mmk_fsh3&date=today+5-y,/g/11mmk_fsh3,large,Topic,top,True
41,5,5,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,top,True
42,5,5,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
43,5,5,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
44,4,4,/trends/explore?q=/m/025rt4t&date=today+5-y,/m/025rt4t,Purchasing,Topic,top,True
45,4,4,/trends/explore?q=/m/0hhdb&date=today+5-y,/m/0hhdb,Shopping,Topic,top,True
46,4,4,/trends/explore?q=/m/01hxyd&date=today+5-y,/m/01hxyd,Local food,Topic,top,True
47,4,4,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,top,True
48,4,4,/trends/explore?q=/m/07g82&date=today+5-y,/m/07g82,Tax,Topic,top,True
49,4,4,/trends/explore?q=/m/0806jls&date=today+5-y,/m/0806jls,Production,Economics,top,True
