,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,341000,Breakout,/trends/explore?q=/m/07b_l&date=today+5-y,/m/07b_l,Texas,US state,rising,
1,282200,Breakout,/trends/explore?q=/m/0b25v&date=today+5-y,/m/0b25v,License,Topic,rising,
2,191500,Breakout,/trends/explore?q=/m/0ck43n&date=today+5-y,/m/0ck43n,Storage tank,Topic,rising,
3,185150,Breakout,/trends/explore?q=/m/06wzb&date=today+5-y,/m/06wzb,Steam,Topic,rising,
4,181100,Breakout,/trends/explore?q=/m/01prdc&date=today+5-y,/m/01prdc,Limited liability company,Private limited company,rising,
5,165050,Breakout,/trends/explore?q=/m/05tbn&date=today+5-y,/m/05tbn,Pennsylvania,US state,rising,
6,146700,Breakout,/trends/explore?q=/m/03xbmk&date=today+5-y,/m/03xbmk,Hose,Topic,rising,
7,123600,Breakout,/trends/explore?q=/m/0cv3w&date=today+5-y,/m/0cv3w,Las Vegas,City in Nevada,rising,
8,114400,Breakout,/trends/explore?q=/m/01n4w&date=today+5-y,/m/01n4w,Colorado,US state,rising,
9,113850,Breakout,/trends/explore?q=/m/01g691&date=today+5-y,/m/01g691,Polishing,Topic,rising,
10,108400,Breakout,/trends/explore?q=/m/064lht&date=today+5-y,/m/064lht,Coating,Topic,rising,
11,105850,Breakout,/trends/explore?q=/m/02q_bfg&date=today+5-y,/m/02q_bfg,"Tint, shade and tone",Color,rising,
12,92150,Breakout,/trends/explore?q=/m/0n1rj&date=today+5-y,/m/0n1rj,Tampa,City in Florida,rising,
13,84600,Breakout,/trends/explore?q=/m/0vmt&date=today+5-y,/m/0vmt,Arizona,US state,rising,
14,84500,Breakout,/trends/explore?q=/m/0fw68&date=today+5-y,/m/0fw68,Soap,Topic,rising,
15,82150,Breakout,/trends/explore?q=/m/0m4jc&date=today+5-y,/m/0m4jc,U.S. County,United States,rising,
16,77000,Breakout,/trends/explore?q=/m/0d4v4&date=today+5-y,/m/0d4v4,Window,Topic,rising,
17,74900,Breakout,/trends/explore?q=/m/06244p&date=today+5-y,/m/06244p,Window film,Topic,rising,
18,67150,Breakout,/trends/explore?q=/m/07srw&date=today+5-y,/m/07srw,Utah,US state,rising,
19,50050,Breakout,/trends/explore?q=/m/026yry7&date=today+5-y,/m/026yry7,Business license,Topic,rising,
20,90,+90%,/trends/explore?q=/m/030qb3t&date=today+5-y,/m/030qb3t,Los Angeles,City in California,rising,
21,60,+60%,/trends/explore?q=/g/11fkyy9czd&date=today+5-y,/g/11fkyy9czd,MobileWash,Topic,rising,
22,60,+60%,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,rising,
23,100,100,/trends/explore?q=/m/0k4j&date=today+5-y,/m/0k4j,Car,Mode of transport,top,True
24,94,94,/trends/explore?q=/m/03zj0g&date=today+5-y,/m/03zj0g,Auto detailing,Topic,top,True
25,92,92,/trends/explore?q=/m/05hp41&date=today+5-y,/m/05hp41,Car Wash,Topic,top,True
26,83,83,/trends/explore?q=/m/01ln6f&date=today+5-y,/m/01ln6f,Washing,Topic,top,True
27,39,39,/trends/explore?q=/m/050k8&date=today+5-y,/m/050k8,Mobile phone,Topic,top,True
28,8,8,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
29,5,5,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
30,5,5,/trends/explore?q=/g/11c5rmbjqg&date=today+5-y,/g/11c5rmbjqg,Cleaning,Topic,top,True
31,4,4,/trends/explore?q=/m/0fy__&date=today+5-y,/m/0fy__,Wax,Topic,top,True
32,4,4,/trends/explore?q=/m/02xry&date=today+5-y,/m/02xry,Florida,US state,top,True
33,3,3,/trends/explore?q=/m/07b_l&date=today+5-y,/m/07b_l,Texas,US state,top,True
34,3,3,/trends/explore?q=/m/030qb3t&date=today+5-y,/m/030qb3t,Los Angeles,City in California,top,True
35,3,3,/trends/explore?q=/m/0b25v&date=today+5-y,/m/0b25v,License,Topic,top,True
36,3,3,/trends/explore?q=/g/11fkyy9czd&date=today+5-y,/g/11fkyy9czd,MobileWash,Topic,top,True
37,2,2,/trends/explore?q=/m/0ck43n&date=today+5-y,/m/0ck43n,Storage tank,Topic,top,True
38,2,2,/trends/explore?q=/m/06wzb&date=today+5-y,/m/06wzb,Steam,Topic,top,True
39,2,2,/trends/explore?q=/m/01prdc&date=today+5-y,/m/01prdc,Limited liability company,Private limited company,top,True
40,2,2,/trends/explore?q=/m/0d31p&date=today+5-y,/m/0d31p,Vacuum cleaner,Topic,top,True
41,2,2,/trends/explore?q=/m/05tbn&date=today+5-y,/m/05tbn,Pennsylvania,US state,top,True
42,2,2,/trends/explore?q=/m/0d0x8&date=today+5-y,/m/0d0x8,Georgia,US state,top,True
43,2,2,/trends/explore?q=/m/0rzpt9x&date=today+5-y,/m/0rzpt9x,Groupon,Online store company,top,True
44,2,2,/trends/explore?q=/m/05wnx&date=today+5-y,/m/05wnx,Pressure,Topic,top,True
45,2,2,/trends/explore?q=/m/07z1m&date=today+5-y,/m/07z1m,Virginia,US state,top,True
46,1,1,/trends/explore?q=/m/03xbmk&date=today+5-y,/m/03xbmk,Hose,Topic,top,True
47,1,1,/trends/explore?q=/m/05y4t&date=today+5-y,/m/05y4t,Paint,Topic,top,True
