,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,353100,Breakout,/trends/explore?q=/m/09f07&date=today+5-y,/m/09f07,Delhi,City in India,rising,
1,346200,Breakout,/trends/explore?q=/m/0glrkg4&date=today+5-y,/m/0glrkg4,NEET,Entrance exam,rising,
2,329550,Breakout,/trends/explore?q=/m/08yytr&date=today+5-y,/m/08yytr,Union Public Service Commission,Government agency,rising,
3,321650,Breakout,/trends/explore?q=/m/06cs1&date=today+5-y,/m/06cs1,Research,Organization type,rising,
4,319550,Breakout,/trends/explore?q=/g/121p6d90&date=today+5-y,/g/121p6d90,Education,Professional field,rising,
5,319150,Breakout,/trends/explore?q=/m/033pwq&date=today+5-y,/m/033pwq,Indian Administrative Service,Government office,rising,
6,313650,Breakout,/trends/explore?q=/g/120vhg3f&date=today+5-y,/g/120vhg3f,Learning,Topic,rising,
7,293500,Breakout,/trends/explore?q=/m/0cgz_&date=today+5-y,/m/0cgz_,Human Resources,Topic,rising,
8,286550,Breakout,/trends/explore?q=/m/0bgpq0&date=today+5-y,/m/0bgpq0,UGC NET,Professional exam,rising,
9,285150,Breakout,/trends/explore?q=/m/02h4rq6&date=today+5-y,/m/02h4rq6,Bachelor of Science,Degree,rising,
10,271000,Breakout,/trends/explore?q=/m/0h3rj36&date=today+5-y,/m/0h3rj36,Udemy,Web site,rising,
11,243750,Breakout,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,rising,
12,235850,Breakout,/trends/explore?q=/m/081rb&date=today+5-y,/m/081rb,Writing,Writing system,rising,
13,234650,Breakout,/trends/explore?q=/m/0134hp&date=today+5-y,/m/0134hp,Academy,School category,rising,
14,229700,Breakout,/trends/explore?q=/g/11ckrcsx2b&date=today+5-y,/g/11ckrcsx2b,Lifestyle guru,Profession,rising,
15,226000,Breakout,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,rising,
16,225000,Breakout,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,rising,
17,222350,Breakout,/trends/explore?q=/m/01lhf&date=today+5-y,/m/01lhf,Communication,Field of study,rising,
18,211500,Breakout,/trends/explore?q=/m/01mf0&date=today+5-y,/m/01mf0,Software,Software grouping,rising,
19,190500,Breakout,/trends/explore?q=/m/0n68_&date=today+5-y,/m/0n68_,Structure,Topic,rising,
20,186950,Breakout,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,rising,
21,186200,Breakout,/trends/explore?q=/g/11mmkf5t99&date=today+5-y,/g/11mmkf5t99,cheap,Topic,rising,
22,182800,Breakout,/trends/explore?q=/g/11j30blbkt&date=today+5-y,/g/11j30blbkt,Vajiram,Topic,rising,
23,179150,Breakout,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,rising,
24,174050,Breakout,/trends/explore?q=/g/1214lylq&date=today+5-y,/g/1214lylq,Commerce,Topic,rising,
25,100,100,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,top,True
26,99,99,/trends/explore?q=/m/0122dh&date=today+5-y,/m/0122dh,Coaching,Topic,top,True
27,20,20,/trends/explore?q=/m/01h2_q&date=today+5-y,/m/01h2_q,Mentorship,Topic,top,True
28,15,15,/trends/explore?q=/m/02y5kn&date=today+5-y,/m/02y5kn,Coach,Sport,top,True
29,14,14,/trends/explore?q=/m/014jg3&date=today+5-y,/m/014jg3,Training,Topic,top,True
30,14,14,/trends/explore?q=/g/11my1t41tp&date=today+5-y,/g/11my1t41tp,good,Topic,top,True
31,9,9,/trends/explore?q=/m/03rk0&date=today+5-y,/m/03rk0,India,Country in South Asia,top,True
32,9,9,/trends/explore?q=/m/07tf8&date=today+5-y,/m/07tf8,University,School category,top,True
33,9,9,/trends/explore?q=/m/03fk6m&date=today+5-y,/m/03fk6m,Fee,Topic,top,True
34,8,8,/trends/explore?q=/m/02p0qmm&date=today+5-y,/m/02p0qmm,College,School category,top,True
35,8,8,/trends/explore?q=/g/121jyvn6&date=today+5-y,/g/121jyvn6,Exam,Topic,top,True
36,8,8,/trends/explore?q=/m/04nr2&date=today+5-y,/m/04nr2,Life,Topic,top,True
37,8,8,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
38,8,8,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
39,8,8,/trends/explore?q=/m/0kt51&date=today+5-y,/m/0kt51,Health,Topic,top,True
40,8,8,/trends/explore?q=/m/06ntj&date=today+5-y,/m/06ntj,Sports,Topic,top,True
41,7,7,/trends/explore?q=/m/011b7yqg&date=today+5-y,/m/011b7yqg,Certification,Topic,top,True
42,7,7,/trends/explore?q=/g/120jr7n7&date=today+5-y,/g/120jr7n7,life coaching,Topic,top,True
43,6,6,/trends/explore?q=/m/07ssc&date=today+5-y,/m/07ssc,United Kingdom,Country in Europe,top,True
