date,Personal Assistant,isPartial
2018-06-10,69,False
2018-06-17,64,False
2018-06-24,64,False
2018-07-01,67,False
2018-07-08,70,False
2018-07-15,78,False
2018-07-22,72,False
2018-07-29,76,False
2018-08-05,76,False
2018-08-12,72,False
2018-08-19,70,False
2018-08-26,66,False
2018-09-02,66,False
2018-09-09,68,False
2018-09-16,72,False
2018-09-23,72,False
2018-09-30,68,False
2018-10-07,66,False
2018-10-14,66,False
2018-10-21,64,False
2018-10-28,70,False
2018-11-04,78,False
2018-11-11,69,False
2018-11-18,59,False
2018-11-25,69,False
2018-12-02,65,False
2018-12-09,65,False
2018-12-16,65,False
2018-12-23,53,False
2018-12-30,64,False
2019-01-06,76,False
2019-01-13,72,False
2019-01-20,67,False
2019-01-27,73,False
2019-02-03,69,False
2019-02-10,63,False
2019-02-17,71,False
2019-02-24,73,False
2019-03-03,73,False
2019-03-10,65,False
2019-03-17,69,False
2019-03-24,68,False
2019-03-31,67,False
2019-04-07,64,False
2019-04-14,64,False
2019-04-21,67,False
2019-04-28,61,False
2019-05-05,70,False
2019-05-12,61,False
2019-05-19,70,False
2019-05-26,65,False
2019-06-02,64,False
2019-06-09,68,False
2019-06-16,71,False
2019-06-23,73,False
2019-06-30,64,False
2019-07-07,71,False
2019-07-14,64,False
2019-07-21,66,False
2019-07-28,64,False
2019-08-04,62,False
2019-08-11,71,False
2019-08-18,69,False
2019-08-25,100,False
2019-09-01,75,False
2019-09-08,74,False
2019-09-15,76,False
2019-09-22,68,False
2019-09-29,68,False
2019-10-06,68,False
2019-10-13,67,False
2019-10-20,69,False
2019-10-27,64,False
2019-11-03,65,False
2019-11-10,64,False
2019-11-17,67,False
2019-11-24,57,False
2019-12-01,63,False
2019-12-08,62,False
2019-12-15,59,False
2019-12-22,59,False
2019-12-29,62,False
2020-01-05,82,False
2020-01-12,75,False
2020-01-19,74,False
2020-01-26,75,False
2020-02-02,68,False
2020-02-09,77,False
2020-02-16,73,False
2020-02-23,75,False
2020-03-01,64,False
2020-03-08,54,False
2020-03-15,52,False
2020-03-22,45,False
2020-03-29,40,False
2020-04-05,44,False
2020-04-12,45,False
2020-04-19,51,False
2020-04-26,51,False
2020-05-03,56,False
2020-05-10,61,False
2020-05-17,61,False
2020-05-24,53,False
2020-05-31,59,False
2020-06-07,62,False
2020-06-14,76,False
2020-06-21,63,False
2020-06-28,74,False
2020-07-05,70,False
2020-07-12,74,False
2020-07-19,67,False
2020-07-26,64,False
2020-08-02,66,False
2020-08-09,62,False
2020-08-16,59,False
2020-08-23,69,False
2020-08-30,60,False
2020-09-06,64,False
2020-09-13,62,False
2020-09-20,60,False
2020-09-27,57,False
2020-10-04,61,False
2020-10-11,60,False
2020-10-18,59,False
2020-10-25,54,False
2020-11-01,51,False
2020-11-08,63,False
