,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,400,+400%,/trends/explore?q=/g/11h7kfdxrc&date=today+5-y,/g/11h7kfdxrc,The High Note,2020 film,rising,
1,200,+200%,/trends/explore?q=/m/02sdd&date=today+5-y,/m/02sdd,Executive Branch,Government,rising,
2,200,+200%,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,rising,
3,140,+140%,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,rising,
4,110,+110%,/trends/explore?q=/m/0fczf&date=today+5-y,/m/0fczf,Nurse,Profession,rising,
5,50,+50%,/trends/explore?q=/m/0mkz&date=today+5-y,/m/0mkz,Artificial intelligence,Topic,rising,
6,50,+50%,/trends/explore?q=/m/0b1rbb&date=today+5-y,/m/0b1rbb,Task,Project management,rising,
7,50,+50%,/trends/explore?q=/m/0377k9&date=today+5-y,/m/0377k9,Minister,Government,rising,
8,40,+40%,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,rising,
9,100,100,/trends/explore?q=/m/0fhtks&date=today+5-y,/m/0fhtks,Personal assistant,Job title,top,True
10,26,26,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
11,9,9,/trends/explore?q=/g/11bc5c54l4&date=today+5-y,/g/11bc5c54l4,Virtual assistant,Topic,top,True
12,8,8,/trends/explore?q=/g/11fljpmxv&date=today+5-y,/g/11fljpmxv,personal,Topic,top,True
13,7,7,/trends/explore?q=/m/02w88k&date=today+5-y,/m/02w88k,Salary,Topic,top,True
14,6,6,/trends/explore?q=/m/0fdt20&date=today+5-y,/m/0fdt20,Unlicensed assistive personnel,Topic,top,True
15,5,5,/trends/explore?q=/m/02vlb56&date=today+5-y,/m/02vlb56,Job description,Topic,top,True
16,4,4,/trends/explore?q=/g/11byylpdk6&date=today+5-y,/g/11byylpdk6,Google Assistant,Software,top,True
17,3,3,/trends/explore?q=/m/02h660_&date=today+5-y,/m/02h660_,Administrative assistant,Job title,top,True
18,3,3,/trends/explore?q=/m/01yrg2&date=today+5-y,/m/01yrg2,Résumé,Topic,top,True
19,3,3,/trends/explore?q=/m/05t02&date=today+5-y,/m/05t02,PDA,Topic,top,True
20,2,2,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
21,2,2,/trends/explore?q=/m/019323&date=today+5-y,/m/019323,Duty,Topic,top,True
22,2,2,/trends/explore?q=/m/01fcnx&date=today+5-y,/m/01fcnx,Secretary,Career,top,True
23,2,2,/trends/explore?q=/m/05tbn&date=today+5-y,/m/05tbn,Pennsylvania,US state,top,True
24,2,2,/trends/explore?q=/m/0730v5&date=today+5-y,/m/0730v5,Personal Statement,Topic,top,True
25,2,2,/trends/explore?q=/m/03nw7w&date=today+5-y,/m/03nw7w,Recruitment,Topic,top,True
26,2,2,/trends/explore?q=/m/01zsxh&date=today+5-y,/m/01zsxh,Skill,Topic,top,True
27,2,2,/trends/explore?q=/g/122sgqnb&date=today+5-y,/g/122sgqnb,Office,Building function,top,True
28,2,2,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
29,2,2,/trends/explore?q=/m/03ml62y&date=today+5-y,/m/03ml62y,Career,Topic,top,True
30,2,2,/trends/explore?q=/m/01_942&date=today+5-y,/m/01_942,Wage,Topic,top,True
31,2,2,/trends/explore?q=/m/05xxpj&date=today+5-y,/m/05xxpj,Part-time job,Topic,top,True
32,1,1,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,top,True
33,1,1,/trends/explore?q=/m/0mkz&date=today+5-y,/m/0mkz,Artificial intelligence,Topic,top,True
