,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,362800,Breakout,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,rising,
1,309700,Breakout,/trends/explore?q=/m/0d9jr&date=today+5-y,/m/0d9jr,Seattle,City in Washington State,rising,
2,267300,Breakout,/trends/explore?q=/m/03rnh&date=today+5-y,/m/03rnh,Industry,Economics,rising,
3,254750,Breakout,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,rising,
4,213850,Breakout,/trends/explore?q=/m/07bsy&date=today+5-y,/m/07bsy,Transport,Field of study,rising,
5,182150,Breakout,/trends/explore?q=/m/03gd5&date=today+5-y,/m/03gd5,Home page,Topic,rising,
6,176600,Breakout,/trends/explore?q=/m/011l78&date=today+5-y,/m/011l78,Team,Topic,rising,
7,108600,Breakout,/trends/explore?q=/m/01hjj_&date=today+5-y,/m/01hjj_,Lodging,Accommodation type,rising,
8,70,+70%,/trends/explore?q=/m/02m1vq&date=today+5-y,/m/02m1vq,Personal grooming,Topic,rising,
9,60,+60%,/trends/explore?q=/m/04k075&date=today+5-y,/m/04k075,Dog training,Topic,rising,
10,40,+40%,/trends/explore?q=/m/0jbk&date=today+5-y,/m/0jbk,Animal,Topic,rising,
11,100,100,/trends/explore?q=/m/0bt9lr&date=today+5-y,/m/0bt9lr,Dog,Animal,top,True
12,99,99,/trends/explore?q=/m/068hy&date=today+5-y,/m/068hy,Pet,Topic,top,True
13,97,97,/trends/explore?q=/m/07k66p6&date=today+5-y,/m/07k66p6,Dog daycare,Topic,top,True
14,69,69,/trends/explore?q=/m/022hpx&date=today+5-y,/m/022hpx,Child care,Topic,top,True
15,28,28,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
16,25,25,/trends/explore?q=/m/08qjs_&date=today+5-y,/m/08qjs_,Pet sitting,Topic,top,True
17,12,12,/trends/explore?q=/m/04gh39q&date=today+5-y,/m/04gh39q,Dog grooming,Topic,top,True
18,12,12,/trends/explore?q=/m/083mg&date=today+5-y,/m/083mg,Walking,Topic,top,True
19,11,11,/trends/explore?q=/m/02w8p8p&date=today+5-y,/m/02w8p8p,Dog walking,Topic,top,True
20,11,11,/trends/explore?q=/m/02m1vq&date=today+5-y,/m/02m1vq,Personal grooming,Topic,top,True
21,9,9,/trends/explore?q=/m/0jbk&date=today+5-y,/m/0jbk,Animal,Topic,top,True
22,8,8,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
23,6,6,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
24,6,6,/trends/explore?q=/m/04k075&date=today+5-y,/m/04k075,Dog training,Topic,top,True
25,5,5,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
26,5,5,/trends/explore?q=/m/053wzw&date=today+5-y,/m/053wzw,Kennel,Topic,top,True
27,5,5,/trends/explore?q=/m/014jg3&date=today+5-y,/m/014jg3,Training,Topic,top,True
28,4,4,/trends/explore?q=/m/0d9jr&date=today+5-y,/m/0d9jr,Seattle,City in Washington State,top,True
29,4,4,/trends/explore?q=/m/01yrx&date=today+5-y,/m/01yrx,Cat,Animal,top,True
30,4,4,/trends/explore?q=/m/01hbsc&date=today+5-y,/m/01hbsc,Veterinarian,Occupation,top,True
31,4,4,/trends/explore?q=/m/03rnh&date=today+5-y,/m/03rnh,Industry,Economics,top,True
32,4,4,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
33,4,4,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
34,4,4,/trends/explore?q=/m/05k7sb&date=today+5-y,/m/05k7sb,Massachusetts,US state,top,True
35,3,3,/trends/explore?q=/m/05fjf&date=today+5-y,/m/05fjf,New Jersey,US state,top,True
