,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,1344700,Breakout,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,rising,
1,836400,Breakout,/trends/explore?q=/m/05fcbw8&date=today+5-y,/m/05fcbw8,Demand,Topic,rising,
2,769650,Breakout,/trends/explore?q=/m/025rt4t&date=today+5-y,/m/025rt4t,Purchasing,Topic,rising,
3,743350,Breakout,/trends/explore?q=/g/122fpn6r&date=today+5-y,/g/122fpn6r,Drink,Type of dish,rising,
4,735600,Breakout,/trends/explore?q=/m/03ml62y&date=today+5-y,/m/03ml62y,Career,Topic,rising,
5,734800,Breakout,/trends/explore?q=/m/03y39&date=today+5-y,/m/03y39,Information,Topic,rising,
6,728750,Breakout,/trends/explore?q=/m/03rnh&date=today+5-y,/m/03rnh,Industry,Economics,rising,
7,683900,Breakout,/trends/explore?q=/m/09t4t&date=today+5-y,/m/09t4t,Manufacturing,Topic,rising,
8,659450,Breakout,/trends/explore?q=/g/1215vxrr&date=today+5-y,/g/1215vxrr,Profit,Economics,rising,
9,657900,Breakout,/trends/explore?q=/m/0rymy5s&date=today+5-y,/m/0rymy5s,Quizlet,Computer software company,rising,
10,655050,Breakout,/trends/explore?q=/m/023k2&date=today+5-y,/m/023k2,Corporation,Organization type,rising,
11,653750,Breakout,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,rising,
12,646750,Breakout,/trends/explore?q=/m/03g_1kv&date=today+5-y,/m/03g_1kv,Goal,Topic,rising,
13,646250,Breakout,/trends/explore?q=/m/01bqks&date=today+5-y,/m/01bqks,Federal government of the United States,Government,rising,
14,629400,Breakout,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,rising,
15,625850,Breakout,/trends/explore?q=/m/0191_7&date=today+5-y,/m/0191_7,Retail,Topic,rising,
16,620750,Breakout,/trends/explore?q=/m/02q9lq2&date=today+5-y,/m/02q9lq2,Resource,Topic,rising,
17,618150,Breakout,/trends/explore?q=/m/048krps&date=today+5-y,/m/048krps,Choice,Topic,rising,
18,579300,Breakout,/trends/explore?q=/m/0806jls&date=today+5-y,/m/0806jls,Production,Economics,rising,
19,573400,Breakout,/trends/explore?q=/m/0bj6r&date=today+5-y,/m/0bj6r,System,Topic,rising,
20,568650,Breakout,/trends/explore?q=/g/121vr6rm&date=today+5-y,/g/121vr6rm,Analysis,Topic,rising,
21,547250,Breakout,/trends/explore?q=/m/01lhf&date=today+5-y,/m/01lhf,Communication,Field of study,rising,
22,545000,Breakout,/trends/explore?q=/m/0bhr4z&date=today+5-y,/m/0bhr4z,Value,Economics,rising,
23,530500,Breakout,/trends/explore?q=/m/0bl67&date=today+5-y,/m/0bl67,Security,Finance,rising,
24,529550,Breakout,/trends/explore?q=/m/026yf&date=today+5-y,/m/026yf,Definition,Topic,rising,
25,100,100,/trends/explore?q=/m/09y4pm&date=today+5-y,/m/09y4pm,Market,Economics,top,True
26,90,90,/trends/explore?q=/m/014dgf&date=today+5-y,/m/014dgf,Sales,Topic,top,True
27,73,73,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
28,65,65,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
29,54,54,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
30,47,47,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
31,39,39,/trends/explore?q=/m/01d_1l&date=today+5-y,/m/01d_1l,Price,Topic,top,True
32,32,32,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
33,29,29,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
34,29,29,/trends/explore?q=/m/025_b&date=today+5-y,/m/025_b,Consumer,Topic,top,True
35,26,26,/trends/explore?q=/m/02s26t&date=today+5-y,/m/02s26t,Goods,Topic,top,True
36,26,26,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
37,26,26,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
38,26,26,/trends/explore?q=/m/036nz&date=today+5-y,/m/036nz,Government,Organization type,top,True
39,21,21,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
40,20,20,/trends/explore?q=/m/09c7w0&date=today+5-y,/m/09c7w0,United States,Country in North America,top,True
41,20,20,/trends/explore?q=/m/0168hv&date=today+5-y,/m/0168hv,Cost,Topic,top,True
42,19,19,/trends/explore?q=/m/0qb7t&date=today+5-y,/m/0qb7t,Organization,Topic,top,True
43,19,19,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
44,19,19,/trends/explore?q=/m/01lff&date=today+5-y,/m/01lff,Country,Topic,top,True
45,18,18,/trends/explore?q=/m/077mq&date=today+5-y,/m/077mq,Stock,Topic,top,True
46,17,17,/trends/explore?q=/m/02psn0h&date=today+5-y,/m/02psn0h,Marketplace,Topic,top,True
47,16,16,/trends/explore?q=/m/05fcbw8&date=today+5-y,/m/05fcbw8,Demand,Topic,top,True
48,15,15,/trends/explore?q=/m/025rt4t&date=today+5-y,/m/025rt4t,Purchasing,Topic,top,True
49,14,14,/trends/explore?q=/m/07c1v&date=today+5-y,/m/07c1v,Technology,Topic,top,True
