,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,226200,Breakout,/trends/explore?q=/m/02gcn9&date=today+5-y,/m/02gcn9,Analytics,Topic,rising,
1,156450,Breakout,/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
2,123700,Breakout,/trends/explore?q=/g/122152pm&date=today+5-y,/g/122152pm,Technique,Topic,rising,
3,108300,Breakout,/trends/explore?q=/g/11hd52zwz0&date=today+5-y,/g/11hd52zwz0,Cash App,Topic,rising,
4,106600,Breakout,/trends/explore?q=/m/0gcpt&date=today+5-y,/m/0gcpt,Average,Topic,rising,
5,105800,Breakout,/trends/explore?q=/g/11c3wtn424&date=today+5-y,/g/11c3wtn424,Toluna,Topic,rising,
6,93250,Breakout,/trends/explore?q=/g/11g9mgsdqj&date=today+5-y,/g/11g9mgsdqj,OneOpinion,"Consultant in Westport, Connecticut",rising,
7,92850,Breakout,/trends/explore?q=/m/024gn2&date=today+5-y,/m/024gn2,Menu,Computing,rising,
8,86650,Breakout,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,rising,
9,84150,Breakout,/trends/explore?q=/m/0dvx2z&date=today+5-y,/m/0dvx2z,Record shop,Topic,rising,
10,74700,Breakout,/trends/explore?q=/m/01bw3m&date=today+5-y,/m/01bw3m,Marketing research,Topic,rising,
11,74700,Breakout,/trends/explore?q=/g/11jpgjg6tg&date=today+5-y,/g/11jpgjg6tg,LifePoints,Software,rising,
12,72200,Breakout,/trends/explore?q=/m/0cvmc&date=today+5-y,/m/0cvmc,Randomness,Topic,rising,
13,69700,Breakout,/trends/explore?q=/m/033mjv&date=today+5-y,/m/033mjv,Merchandising,Topic,rising,
14,69500,Breakout,/trends/explore?q=/m/0gky13v&date=today+5-y,/m/0gky13v,Fiverr,Company,rising,
15,66950,Breakout,/trends/explore?q=/m/03bx017&date=today+5-y,/m/03bx017,Researcher,Profession,rising,
16,64400,Breakout,/trends/explore?q=/m/04q347y&date=today+5-y,/m/04q347y,Plot,Graphics,rising,
17,58600,Breakout,/trends/explore?q=/m/02x93&date=today+5-y,/m/02x93,Frequency,Topic,rising,
18,57100,Breakout,/trends/explore?q=/m/020gjv&date=today+5-y,/m/020gjv,Qualitative research,Topic,rising,
19,56400,Breakout,/trends/explore?q=/m/049234&date=today+5-y,/m/049234,Guest house,Lodging type,rising,
20,55500,Breakout,/trends/explore?q=/m/0h6zk&date=today+5-y,/m/0h6zk,Percentage,Unit of proportion,rising,
21,850,+850%,/trends/explore?q=/m/026sq&date=today+5-y,/m/026sq,Data,Topic,rising,
22,650,+650%,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,rising,
23,350,+350%,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,rising,
24,200,+200%,/trends/explore?q=/m/0bh8lsh&date=today+5-y,/m/0bh8lsh,Swagbucks,Company,rising,
25,100,100,/trends/explore?q=/m/01nyyz&date=today+5-y,/m/01nyyz,Survey methodology,Field of study,top,True
26,68,68,/trends/explore?q=/m/04_x4&date=today+5-y,/m/04_x4,Money,Topic,top,True
27,30,30,/trends/explore?q=/m/08bmdq&date=today+5-y,/m/08bmdq,Paid survey,Topic,top,True
28,15,15,/trends/explore?q=/m/03c5b0n&date=today+5-y,/m/03c5b0n,Survey,Human research,top,True
29,12,12,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
30,11,11,/trends/explore?q=/m/0bh8lsh&date=today+5-y,/m/0bh8lsh,Swagbucks,Company,top,True
31,11,11,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
32,9,9,/trends/explore?q=/m/0fd6q&date=today+5-y,/m/0fd6q,Cash,Topic,top,True
33,8,8,/trends/explore?q=/m/09s5j9&date=today+5-y,/m/09s5j9,Payment,Topic,top,True
34,8,8,/trends/explore?q=/m/026sq&date=today+5-y,/m/026sq,Data,Topic,top,True
35,7,7,/trends/explore?q=/g/11l869b5t2&date=today+5-y,/g/11l869b5t2,Fast,Topic,top,True
36,6,6,/trends/explore?q=/m/01l0mw&date=today+5-y,/m/01l0mw,Home,Topic,top,True
37,6,6,/trends/explore?q=/m/06cs1&date=today+5-y,/m/06cs1,Research,Organization type,top,True
38,6,6,/trends/explore?q=/m/0h94y36&date=today+5-y,/m/0h94y36,Mobile app,Mobile game device,top,True
39,6,6,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
40,5,5,/trends/explore?q=/m/014cnc&date=today+5-y,/m/014cnc,Student,Topic,top,True
41,5,5,/trends/explore?q=/g/11bc5jkfd6&date=today+5-y,/g/11bc5jkfd6,PayPal,Topic,top,True
42,5,5,/trends/explore?q=/g/11l85lp3f7&date=today+5-y,/g/11l85lp3f7,easy,Topic,top,True
43,4,4,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
44,4,4,/trends/explore?q=/g/122s91_5&date=today+5-y,/g/122s91_5,PayPal,Financial technology company,top,True
45,4,4,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,top,True
46,4,4,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
47,3,3,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
48,3,3,/trends/explore?q=/m/05xxpj&date=today+5-y,/m/05xxpj,Part-time job,Topic,top,True
49,3,3,/trends/explore?q=/m/02gcn9&date=today+5-y,/m/02gcn9,Analytics,Topic,top,True
