,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,1252200,Breakout,/trends/explore?q=/g/121p6d90&date=today+5-y,/g/121p6d90,Education,Professional field,rising,
1,1090150,Breakout,/trends/explore?q=/g/120vhg3f&date=today+5-y,/g/120vhg3f,Learning,Topic,rising,
2,948150,Breakout,/trends/explore?q=/m/0fl5x&date=today+5-y,/m/0fl5x,Disability,Topic,rising,
3,927450,Breakout,/trends/explore?q=/m/04hyxm&date=today+5-y,/m/04hyxm,Classroom,Topic,rising,
4,708000,Breakout,/trends/explore?q=/m/07schz0&date=today+5-y,/m/07schz0,Quizlet,Website,rising,
5,695000,Breakout,/trends/explore?q=/m/03y39&date=today+5-y,/m/03y39,Information,Topic,rising,
6,586050,Breakout,/trends/explore?q=/m/06mpr&date=today+5-y,/m/06mpr,Set,Mathematics,rising,
7,555700,Breakout,/trends/explore?q=/m/0b_199&date=today+5-y,/m/0b_199,Inclusion,Education,rising,
8,551800,Breakout,/trends/explore?q=/m/0203b&date=today+5-y,/m/0203b,Concept,Topic,rising,
9,488500,Breakout,/trends/explore?q=/m/01r9v&date=today+5-y,/m/01r9v,Computer program,Topic,rising,
10,483650,Breakout,/trends/explore?q=/m/0gw5h&date=today+5-y,/m/0gw5h,Assessment,Topic,rising,
11,472900,Breakout,/trends/explore?q=/m/03k6m_&date=today+5-y,/m/03k6m_,Sentence,Linguistics,rising,
12,441000,Breakout,/trends/explore?q=/g/11bwgw2tv2&date=today+5-y,/g/11bwgw2tv2,Co-teaching,Topic,rising,
13,437500,Breakout,/trends/explore?q=/m/03s26&date=today+5-y,/m/03s26,Individual,Topic,rising,
14,426200,Breakout,/trends/explore?q=/m/025rt2s&date=today+5-y,/m/025rt2s,Leadership,Topic,rising,
15,403300,Breakout,/trends/explore?q=/m/018jrr&date=today+5-y,/m/018jrr,Plan,Topic,rising,
16,394150,Breakout,/trends/explore?q=/g/121jyvn6&date=today+5-y,/g/121jyvn6,Exam,Topic,rising,
17,388800,Breakout,/trends/explore?q=/m/0d9cbr&date=today+5-y,/m/0d9cbr,Evidence,Topic,rising,
18,374300,Breakout,/trends/explore?q=/g/122mqqg5&date=today+5-y,/g/122mqqg5,Computer Assisted Instruction,Topic,rising,
