date,Viral Social Media Content,isPartial
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,99,False
2018-10-21,0,False
2018-10-28,38,False
2018-11-04,68,False
2018-11-11,0,False
2018-11-18,44,False
2018-11-25,81,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,92,False
2019-02-17,0,False
2019-02-24,43,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,47,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,34,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,35,False
2019-09-22,25,False
2019-09-29,0,False
2019-10-06,48,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,31,False
2019-11-03,52,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,32,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,61,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,58,False
2020-03-29,0,False
2020-04-05,54,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,26,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,19,False
2020-06-07,0,False
2020-06-14,27,False
2020-06-21,24,False
2020-06-28,37,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,21,False
2020-07-26,0,False
2020-08-02,0,False
2020-08-09,0,False
2020-08-16,23,False
2020-08-23,0,False
2020-08-30,42,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,30,False
2020-09-27,0,False
2020-10-04,28,False
2020-10-11,0,False
2020-10-18,26,False
2020-10-25,24,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,99,False
2020-12-13,0,False
2020-12-20,0,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,35,False
2021-01-17,0,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,0,False
2021-02-21,0,False
2021-02-28,91,False
2021-03-07,0,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,0,False
2021-05-02,37,False
2021-05-09,59,False
2021-05-16,0,False
2021-05-23,41,False
2021-05-30,0,False
2021-06-06,52,False
2021-06-13,22,False
2021-06-20,0,False
2021-06-27,39,False
2021-07-04,0,False
2021-07-11,0,False
2021-07-18,30,False
2021-07-25,27,False
2021-08-01,0,False
2021-08-08,26,False
2021-08-15,0,False
2021-08-22,0,False
2021-08-29,0,False
2021-09-05,0,False
2021-09-12,0,False
2021-09-19,0,False
2021-09-26,0,False
2021-10-03,42,False
2021-10-10,0,False
2021-10-17,0,False
2021-10-24,0,False
2021-10-31,25,False
2021-11-07,0,False
2021-11-14,0,False
2021-11-21,0,False
2021-11-28,0,False
2021-12-05,0,False
2021-12-12,0,False
2021-12-19,0,False
2021-12-26,34,False
2022-01-02,35,False
2022-01-09,0,False
2022-01-16,0,False
2022-01-23,45,False
2022-01-30,0,False
2022-02-06,0,False
2022-02-13,22,False
2022-02-20,19,False
2022-02-27,0,False
2022-03-06,46,False
2022-03-13,19,False
2022-03-20,18,False
2022-03-27,15,False
2022-04-03,52,False
2022-04-10,24,False
2022-04-17,43,False
2022-04-24,29,False
2022-05-01,33,False
2022-05-08,23,False
2022-05-15,0,False
2022-05-22,0,False
2022-05-29,56,False
2022-06-05,47,False
2022-06-12,0,False
2022-06-19,0,False
2022-06-26,0,False
2022-07-03,26,False
2022-07-10,22,False
2022-07-17,0,False
2022-07-24,0,False
2022-07-31,25,False
2022-08-07,47,False
2022-08-14,43,False
2022-08-21,0,False
2022-08-28,0,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,0,False
2022-09-25,26,False
2022-10-02,0,False
2022-10-09,0,False
2022-10-16,38,False
2022-10-23,0,False
2022-10-30,28,False
2022-11-06,0,False
2022-11-13,61,False
2022-11-20,0,False
2022-11-27,25,False
2022-12-04,0,False
2022-12-11,0,False
2022-12-18,0,False
2022-12-25,28,False
2023-01-01,32,False
2023-01-08,48,False
2023-01-15,31,False
2023-01-22,63,False
2023-01-29,0,False
2023-02-05,28,False
2023-02-12,18,False
2023-02-19,24,False
2023-02-26,0,False
2023-03-05,33,False
2023-03-12,0,False
2023-03-19,39,False
2023-03-26,100,False
2023-04-02,34,False
2023-04-09,0,False
2023-04-16,55,False
2023-04-23,21,False
2023-04-30,43,False
2023-05-07,38,False
2023-05-14,31,False
2023-05-21,0,False
2023-05-28,31,False
2023-06-04,0,True
