,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,590300,Breakout,/trends/explore?q=/g/11f555cn8l&date=today+5-y,/g/11f555cn8l,TikTok,Website,rising,
1,531800,Breakout,/trends/explore?q=/m/07kk5&date=today+5-y,/m/07kk5,Theory,Topic,rising,
2,513850,Breakout,/trends/explore?q=/m/03m3ns0&date=today+5-y,/m/03m3ns0,Internet celebrity,Topic,rising,
3,497750,Breakout,/trends/explore?q=/m/0g52jn4&date=today+5-y,/m/0g52jn4,Message,Topic,rising,
4,460200,Breakout,/trends/explore?q=/m/098wr&date=today+5-y,/m/098wr,Society,Topic,rising,
5,458650,Breakout,/trends/explore?q=/m/04z0z&date=today+5-y,/m/04z0z,Mass media,Topic,rising,
6,453200,Breakout,/trends/explore?q=/m/019qb_&date=today+5-y,/m/019qb_,Search Engine Optimization,Topic,rising,
7,423250,Breakout,/trends/explore?q=/m/0b4qkr&date=today+5-y,/m/0b4qkr,User-generated content,Topic,rising,
8,393950,Breakout,/trends/explore?q=/m/025b6kg&date=today+5-y,/m/025b6kg,Email marketing,Topic,rising,
9,383800,Breakout,/trends/explore?q=/m/026sq&date=today+5-y,/m/026sq,Data,Topic,rising,
10,372550,Breakout,/trends/explore?q=/m/09g5pq&date=today+5-y,/m/09g5pq,People,Topic,rising,
11,334150,Breakout,/trends/explore?q=/m/026bgmq&date=today+5-y,/m/026bgmq,Influencer marketing,Topic,rising,
12,333350,Breakout,/trends/explore?q=/m/05v8c&date=today+5-y,/m/05v8c,Philippines,Country in Asia,rising,
13,296750,Breakout,/trends/explore?q=/m/06h12k&date=today+5-y,/m/06h12k,Sharing,Topic,rising,
14,295750,Breakout,/trends/explore?q=/m/03ytc&date=today+5-y,/m/03ytc,Computers and information technology,Topic,rising,
15,290700,Breakout,/trends/explore?q=/m/01w362&date=today+5-y,/m/01w362,Social network,Topic,rising,
16,260350,Breakout,/trends/explore?q=/m/029kh&date=today+5-y,/m/029kh,Digital,Topic,rising,
17,250700,Breakout,/trends/explore?q=/m/06mw8r&date=today+5-y,/m/06mw8r,Search engine marketing,Topic,rising,
18,241050,Breakout,/trends/explore?q=/m/02cwm&date=today+5-y,/m/02cwm,Design,Topic,rising,
19,237200,Breakout,/trends/explore?q=/m/04wpw&date=today+5-y,/m/04wpw,Meme,Topic,rising,
20,236700,Breakout,/trends/explore?q=/g/121xjks6&date=today+5-y,/g/121xjks6,Marketer,Career,rising,
21,235550,Breakout,/trends/explore?q=/m/03w5xm&date=today+5-y,/m/03w5xm,Customer Service,Topic,rising,
22,229550,Breakout,/trends/explore?q=/m/033lpr&date=today+5-y,/m/033lpr,Audience,Topic,rising,
23,227400,Breakout,/trends/explore?q=/m/03_hgq&date=today+5-y,/m/03_hgq,Pay-per-click,Topic,rising,
24,213850,Breakout,/trends/explore?q=/m/06804&date=today+5-y,/m/06804,Privacy,Topic,rising,
25,100,100,/trends/explore?q=/m/0fch0p&date=today+5-y,/m/0fch0p,Social media,Topic,top,True
26,99,99,/trends/explore?q=/m/03qh03g&date=today+5-y,/m/03qh03g,Media,Communication,top,True
27,87,87,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,top,True
28,65,65,/trends/explore?q=/m/0c261k&date=today+5-y,/m/0c261k,Viral video,Topic,top,True
29,51,51,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
30,33,33,/trends/explore?q=/m/0x0m_2y&date=today+5-y,/m/0x0m_2y,Viral phenomenon,Topic,top,True
31,22,22,/trends/explore?q=/m/01z8rv&date=today+5-y,/m/01z8rv,Viral marketing,Topic,top,True
32,19,19,/trends/explore?q=/m/085n4&date=today+5-y,/m/085n4,Website,Topic,top,True
33,18,18,/trends/explore?q=/m/011s0&date=today+5-y,/m/011s0,Advertising,Topic,top,True
34,15,15,/trends/explore?q=/m/0g9pc&date=today+5-y,/m/0g9pc,Virus,Infectious agent,top,True
35,15,15,/trends/explore?q=/m/0gpmcb&date=today+5-y,/m/0gpmcb,Social media marketing,Topic,top,True
36,14,14,/trends/explore?q=/m/01jwgf&date=today+5-y,/m/01jwgf,Product,Business,top,True
37,13,13,/trends/explore?q=/m/01j0mk&date=today+5-y,/m/01j0mk,Customer,Topic,top,True
38,13,13,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
39,12,12,/trends/explore?q=/m/03qj473&date=today+5-y,/m/03qj473,Content marketing,Topic,top,True
40,12,12,/trends/explore?q=/m/01cd9&date=today+5-y,/m/01cd9,Brand,Topic,top,True
41,11,11,/trends/explore?q=/m/07b7r&date=today+5-y,/m/07b7r,Strategy,Topic,top,True
42,11,11,/trends/explore?q=/m/02nf_&date=today+5-y,/m/02nf_,Email,Topic,top,True
43,10,10,/trends/explore?q=/m/03qn84b&date=today+5-y,/m/03qn84b,User,Computing,top,True
44,10,10,/trends/explore?q=/g/122hcnps&date=today+5-y,/g/122hcnps,Digital marketing,Topic,top,True
45,10,10,/trends/explore?q=/g/11nm_6fr9g&date=today+5-y,/g/11nm_6fr9g,used,Topic,top,True
46,9,9,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
47,9,9,/trends/explore?q=/m/01qfr1&date=today+5-y,/m/01qfr1,Social,Topic,top,True
48,9,9,/trends/explore?q=/m/084dw&date=today+5-y,/m/084dw,Blog,Topic,top,True
49,8,8,/trends/explore?q=/m/04_tv&date=today+5-y,/m/04_tv,Management,Topic,top,True
