,query,value,mode
0,samsung sam virtual assistant,129350,rising
1,samsung sam,128400,rising
2,samsung virtual assistant 34,48200,rising
3,samsung virtual assistant sam r34,29050,rising
4,amazon virtual assistant course,28900,rising
5,cyberbacker,20900,rising
6,alx virtual assistant,19300,rising
7,byron virtual assistant,16150,rising
8,pineapple virtual assistant,15500,rising
9,samsung girl,15000,rising
10,samsung virtual assistant nsfw,9900,rising
11,hello rache,9800,rising
12,amazon virtual assistant course free,9350,rising
13,how to get samsung virtual assistant,8050,rising
14,pineapple staffing,6600,rising
15,athena virtual assistant,5450,rising
16,samsung virtual assistant san r34,5100,rising
17,sam virtual assistant,2700,rising
18,sam,2350,rising
19,athena,2350,rising
20,amex virtual assistant job,1900,rising
21,byron,1850,rising
22,amex virtual assistant jobs,1850,rising
23,amazon virtual assistant hiring,1650,rising
24,amex virtual assistant,1250,rising
25,virtual jobs,100,top
26,jobs,98,top
27,virtual assistant jobs,96,top
28,home assistant,25,top
29,virtual assistant job,20,top
30,samsung virtual assistant,19,top
31,samsung assistant,18,top
32,virtual assistant online,18,top
33,samsung,18,top
34,virtual assistant work,17,top
35,what is virtual assistant,17,top
36,virtual assistant amazon,13,top
37,remote virtual assistant,12,top
38,virtual assistant jobs from home,12,top
39,online virtual assistant jobs,11,top
40,online jobs,11,top
41,virtual assistant business,11,top
42,remote virtual assistant jobs,11,top
43,become virtual assistant,11,top
44,remote jobs,10,top
45,best virtual assistant,10,top
46,work from home,10,top
47,virtual assistant services,10,top
48,work from home virtual assistant,10,top
49,become a virtual assistant,9,top
