,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,2000,"+2,000%",/trends/explore?q=/g/1q6jzlv6v&date=today+5-y,/g/1q6jzlv6v,Data entry,Topic,rising,
1,900,+900%,/trends/explore?q=/m/07gv72&date=today+5-y,/m/07gv72,Samsung Group,Multinational conglomerate company,rising,
2,800,+800%,/trends/explore?q=/m/04zjj11&date=today+5-y,/m/04zjj11,Samsung,Topic,rising,
3,600,+600%,/trends/explore?q=/m/01w6dw&date=today+5-y,/m/01w6dw,American Express,Financial services corporation,rising,
4,450,+450%,/trends/explore?q=/m/0bngkg&date=today+5-y,/m/0bngkg,Yelp,Company,rising,
5,400,+400%,/trends/explore?q=/g/11j3r_l22l&date=today+5-y,/g/11j3r_l22l,Side job,Topic,rising,
6,300,+300%,/trends/explore?q=/g/11fzxlb_q4&date=today+5-y,/g/11fzxlb_q4,Home Assistant,Software,rising,
7,200,+200%,/trends/explore?q=/m/01rhgl&date=today+5-y,/m/01rhgl,Experience,Topic,rising,
8,190,+190%,/trends/explore?q=/g/11bc5c54l4&date=today+5-y,/g/11bc5c54l4,Virtual assistant,Topic,rising,
9,150,+150%,/trends/explore?q=/g/11f281s079&date=today+5-y,/g/11f281s079,BELAY,Company,rising,
10,130,+130%,/trends/explore?q=/m/01mw2x&date=today+5-y,/m/01mw2x,Health care,Professional field,rising,
11,120,+120%,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,rising,
12,120,+120%,/trends/explore?q=/m/02m96&date=today+5-y,/m/02m96,E-commerce,Topic,rising,
13,110,+110%,/trends/explore?q=/m/04q204&date=today+5-y,/m/04q204,Drop shipping,Topic,rising,
14,100,+100%,/trends/explore?q=/m/01j2x_&date=today+5-y,/m/01j2x_,Proofreading,Topic,rising,
15,80,+80%,/trends/explore?q=/m/01zsxh&date=today+5-y,/m/01zsxh,Skill,Topic,rising,
16,70,+70%,/trends/explore?q=/m/02vlb56&date=today+5-y,/m/02vlb56,Job description,Topic,rising,
17,40,+40%,/trends/explore?q=/m/03nw7w&date=today+5-y,/m/03nw7w,Recruitment,Topic,rising,
18,40,+40%,/trends/explore?q=/m/05xxpj&date=today+5-y,/m/05xxpj,Part-time job,Topic,rising,
19,100,100,/trends/explore?q=/m/079p_d&date=today+5-y,/m/079p_d,Virtual assistant,Job title,top,True
20,79,79,/trends/explore?q=/g/11bc5c54l4&date=today+5-y,/g/11bc5c54l4,Virtual assistant,Topic,top,True
21,22,22,/trends/explore?q=/m/04115t2&date=today+5-y,/m/04115t2,Job,Topic,top,True
22,14,14,/trends/explore?q=/g/11byylpdk6&date=today+5-y,/g/11byylpdk6,Google Assistant,Software,top,True
23,8,8,/trends/explore?q=/m/014xsg&date=today+5-y,/m/014xsg,Remote work,Topic,top,True
24,8,8,/trends/explore?q=/m/04zjj11&date=today+5-y,/m/04zjj11,Samsung,Topic,top,True
25,5,5,/trends/explore?q=/g/121jnq1m&date=today+5-y,/g/121jnq1m,Business,Topic,top,True
26,5,5,/trends/explore?q=/m/018tkd&date=today+5-y,/m/018tkd,Service,Topic,top,True
27,4,4,/trends/explore?q=/m/05v8c&date=today+5-y,/m/05v8c,Philippines,Country in Asia,top,True
28,3,3,/trends/explore?q=/m/05xxpj&date=today+5-y,/m/05xxpj,Part-time job,Topic,top,True
29,3,3,/trends/explore?q=/m/03nw7w&date=today+5-y,/m/03nw7w,Recruitment,Topic,top,True
30,3,3,/trends/explore?q=/m/07hs4p&date=today+5-y,/m/07hs4p,Course,Education,top,True
31,3,3,/trends/explore?q=/m/02vlb56&date=today+5-y,/m/02vlb56,Job description,Topic,top,True
32,2,2,/trends/explore?q=/g/120z18l3&date=today+5-y,/g/120z18l3,Company,Organization type,top,True
33,2,2,/trends/explore?q=/m/02h660_&date=today+5-y,/m/02h660_,Administrative assistant,Job title,top,True
34,2,2,/trends/explore?q=/m/02g0j0&date=today+5-y,/m/02g0j0,Freelancer,Job title,top,True
35,2,2,/trends/explore?q=/m/02pzh5d&date=today+5-y,/m/02pzh5d,Upwork Inc.,Company,top,True
36,2,2,/trends/explore?q=/m/01zsxh&date=today+5-y,/m/01zsxh,Skill,Topic,top,True
37,2,2,/trends/explore?q=/m/01rhgl&date=today+5-y,/m/01rhgl,Experience,Topic,top,True
38,2,2,/trends/explore?q=/m/0fhtks&date=today+5-y,/m/0fhtks,Personal assistant,Job title,top,True
39,2,2,/trends/explore?q=/m/0g4gr&date=today+5-y,/m/0g4gr,Marketing,Topic,top,True
40,2,2,/trends/explore?q=/m/07gv72&date=today+5-y,/m/07gv72,Samsung Group,Multinational conglomerate company,top,True
41,2,2,/trends/explore?q=/m/0mkz&date=today+5-y,/m/0mkz,Artificial intelligence,Topic,top,True
42,1,1,/trends/explore?q=/g/11fzxlb_q4&date=today+5-y,/g/11fzxlb_q4,Home Assistant,Software,top,True
43,1,1,/trends/explore?q=/m/01w6dw&date=today+5-y,/m/01w6dw,American Express,Financial services corporation,top,True
