,query,value,mode
0,studio youtube com,23800,rising
1,studio youtube com channel,11000,rising
2,cocomelon youtube channel,10900,rising
3,youtube studio.com channel,9350,rising
4,videos xxboxx en youtube channel in hindi meaning in english,8250,rising
5,gabby petito youtube channel,6550,rising
6,studio. youtube. com,6250,rising
7,studio.youtube.com,5950,rising
8,studio.youtube.com channel,5950,rising
9,yt studio,5750,rising
10,studio youtube com channel monetization,4950,rising
11,imran riaz khan youtube channel,4600,rising
12,videos xxboxx en youtube channel in hindi meaning in english translation,4600,rising
13,channel dashboard youtube studio,4550,rising
14,outdoor boys youtube channel,3650,rising
15,mr beast,3000,rising
16,youtube desktop site chrome,2700,rising
17,imran khan youtube channel,1900,rising
18,stylish name for youtube channel,1700,rising
19,piper rockelle youtube channel,1600,rising
20,philo,1500,rising
21,youtube. com,1500,rising
22,unique name for youtube channel,1150,rising
23,youtube.com login,1100,rising
24,channel dashboard,1000,rising
25,youtube channel name,100,top
26,my channel youtube,90,top
27,my youtube,86,top
28,my channel,85,top
29,youtube video,77,top
30,best youtube channel,74,top
31,youtube create channel,66,top
32,youtube tv,61,top
33,make youtube channel,59,top
34,youtube tv channel,56,top
35,youtube videos,45,top
36,how to make youtube channel,43,top
37,how to create youtube channel,35,top
38,channel name for youtube,34,top
39,make a youtube channel,34,top
40,youtube news channel,33,top
41,youtube channel names,32,top
42,youtube account,30,top
43,create a youtube channel,28,top
44,youtube logo,27,top
45,youtube channel logo,27,top
46,channel art,27,top
47,youtube channels,27,top
48,youtube download,27,top
49,youtube channel download,27,top
