,value,formattedValue,link,topic_mid,topic_title,topic_type,mode,hasData
0,5100,Breakout,/trends/explore?q=/g/11ffmnm29k&date=today+5-y,/g/11ffmnm29k,MrBeast,American YouTuber,rising,
1,4950,"+4,950%",/trends/explore?q=/g/11hshy3s20&date=today+5-y,/g/11hshy3s20,YouTube Shorts,Topic,rising,
2,500,+500%,/trends/explore?q=/g/11f5bxypvr&date=today+5-y,/g/11f5bxypvr,YouTube TV,Television channel,rising,
3,300,+300%,/trends/explore?q=/m/0dvvc&date=today+5-y,/m/0dvvc,Desktop computer,Topic,rising,
4,190,+190%,/trends/explore?q=/m/07j9gz&date=today+5-y,/m/07j9gz,Monetization,Topic,rising,
5,190,+190%,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,rising,
6,180,+180%,/trends/explore?q=/m/015hcf&date=today+5-y,/m/015hcf,Idea,Topic,rising,
7,100,+100%,/trends/explore?q=/m/0dwx7&date=today+5-y,/m/0dwx7,Logo,Topic,rising,
8,90,+90%,/trends/explore?q=/m/015vq3&date=today+5-y,/m/015vq3,Name,Topic,rising,
9,80,+80%,/trends/explore?q=/g/1203nqdt_&date=today+5-y,/g/1203nqdt_,YouTuber,Topic,rising,
10,100,100,/trends/explore?q=/m/09jcvs&date=today+5-y,/m/09jcvs,YouTube,Video sharing company,top,True
11,9,9,/trends/explore?q=/m/015vq3&date=today+5-y,/m/015vq3,Name,Topic,top,True
12,6,6,/trends/explore?q=/m/07c82&date=today+5-y,/m/07c82,Television channel,Organization type,top,True
13,2,2,/trends/explore?q=/g/11f5bxypvr&date=today+5-y,/g/11f5bxypvr,YouTube TV,Television channel,top,True
14,2,2,/trends/explore?q=/m/015hcf&date=today+5-y,/m/015hcf,Idea,Topic,top,True
15,2,2,/trends/explore?q=/m/0dwx7&date=today+5-y,/m/0dwx7,Logo,Topic,top,True
16,2,2,/trends/explore?q=/m/0jjw&date=today+5-y,/m/0jjw,Art,Topic,top,True
17,1,1,/trends/explore?q=/m/0m9cj&date=today+5-y,/m/0m9cj,Banner,Topic,top,True
18,1,1,/trends/explore?q=/g/1203nqdt_&date=today+5-y,/g/1203nqdt_,YouTuber,Topic,top,True
19,1,1,/trends/explore?q=/m/07j9gz&date=today+5-y,/m/07j9gz,Monetization,Topic,top,True
20,0,<1,/trends/explore?q=/m/0dvvc&date=today+5-y,/m/0dvvc,Desktop computer,Topic,top,True
21,0,<1,/trends/explore?q=/m/02x3zp_&date=today+5-y,/m/02x3zp_,Content,Media,top,True
22,0,<1,/trends/explore?q=/g/11hshy3s20&date=today+5-y,/g/11hshy3s20,YouTube Shorts,Topic,top,True
23,0,<1,/trends/explore?q=/g/11ffmnm29k&date=today+5-y,/g/11ffmnm29k,MrBeast,American YouTuber,top,True
